"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ADANIENT","Adani Enterprises Limited","EQ","Rights 3:25 @ Premium Rs 1799/-","1","17-Nov-2025","17-Nov-2025","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Dividend - Rs 1.30 Per Share","1","13-Jun-2025","13-Jun-2025","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Dividend - Rs 1.30 Per Share","1","14-Jun-2024","14-Jun-2024","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Dividend - Rs 1.20 Per Share","1","07-Jul-2023","07-Jul-2023","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Dividend - Re 1 Per Share","1","14-Jul-2022","15-Jul-2022","-","-"
"ADANIENT","Adani Enterprises Limited","EQ"," Dividend - Re 1 Per Share","1","01-Jul-2021","02-Jul-2021","-","-"
"ADANIENT","Adani Enterprises Limited","EQ"," Annual General Meeting","1","17-Jun-2020","-","19-Jun-2020","26-Jun-2020"
"ADANIENT","Adani Enterprises Limited","EQ"," Interim Dividend - Re 1 Per Share","1","23-Mar-2020","25-Mar-2020","-","-"
"ADANIENT","Adani Enterprises Limited","EQ"," Annual General Meeting/Dividend - Rs 0.40 Per Share","1","29-Jul-2019","-","31-Jul-2019","07-Aug-2019"
"ADANIENT","Adani Enterprises Limited","EQ"," Scheme Of Arrangement","1","06-Sep-2018","07-Sep-2018","-","-"
"ADANIENT","Adani Enterprises Limited","EQ"," Annual General Meeting/Dividend Re 0.40 Per Share","1","27-Jul-2018","-","31-Jul-2018","07-Aug-2018"
"ADANIENT","Adani Enterprises Limited","EQ"," Scheme Of Arrangement","1","05-Apr-2018","06-Apr-2018","-","-"
"ADANIENT","Adani Enterprises Limited","EQ"," Annual General Meeting/Dividend - Re 0.40 Per Share","1","31-Jul-2017","-","02-Aug-2017","09-Aug-2017"
"ADANIENT","Adani Enterprises Limited","EQ"," Annual General Meeting","1","01-Aug-2016","-","03-Aug-2016","10-Aug-2016"
"ADANIENT","Adani Enterprises Limited","EQ"," Interim Dividend - Re 0.40/- Per Share (Purpose Revised)","1","22-Mar-2016","23-Mar-2016","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Annual General Meeting/ Dividend - Rs 1.40/- Per Share","1","31-Jul-2015","-","04-Aug-2015","11-Aug-2015"
"ADANIENT","Adani Enterprises Limited","EQ","Scheme Of Arrangement","1","03-Jun-2015","04-Jun-2015","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Annual General Meeting/Dividend Rs 1.40/- Per Share","1","31-Jul-2014","-","02-Aug-2014","09-Aug-2014"
"ADANIENT","Adani Enterprises Limited","EQ","Annual General Meeting And Dividend Rs.1.40 Per Share","1","30-Jul-2013","-","01-Aug-2013","08-Aug-2013"
"ADANIENT","Adani Enterprises Limited","EQ","Annual General Meeting And Dividend Re.1/- Per Share","1","02-Aug-2012","-","04-Aug-2012","09-Aug-2012"
