"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Dividend - Rs 7 Per Share","2","13-Jun-2025","13-Jun-2025","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Dividend - Rs 6 Per Share","2","14-Jun-2024","14-Jun-2024","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Dividend - Rs 5 Per Share","2","28-Jul-2023","28-Jul-2023","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Dividend - Rs 5 Per Share","2","14-Jul-2022","15-Jul-2022","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Dividend - Rs 5 Per Sh","2","24-Jun-2021","25-Jun-2021","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Annual General Meeting","2","17-Jun-2020","-","19-Jun-2020","26-Jun-2020"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Interim Dividend - Rs 3.20 Per Share","2","16-Mar-2020","17-Mar-2020","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Annual General Meeting/Dividend - Rs 0.20 Per Share","2","26-Jul-2019","-","30-Jul-2019","06-Aug-2019"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Buyback","2","20-Jun-2019","21-Jun-2019","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Annual General Meeting/Dividend- Rs 2 Per Share","2","26-Jul-2018","-","30-Jul-2018","06-Aug-2018"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Annual General Meeting/Dividend - Rs 1.30 Per Share","2","31-Jul-2017","-","02-Aug-2017","09-Aug-2017"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Annual General Meeting","2","29-Jul-2016","-","02-Aug-2016","09-Aug-2016"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ"," Interim Dividend - Rs 1.10/- Per Share (Purpose Revised)","2","22-Mar-2016","23-Mar-2016","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Dividend - Rs 1.10/- Per Share","2","22-May-2015","-","26-May-2015","30-May-2015"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Annual General Meeting/Dividend Re 1/- Per Share","2","31-Jul-2014","-","02-Aug-2014","09-Aug-2014"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Annual General Meeting And Dividend Re.1/- Per Share","2","30-Jul-2013","-","01-Aug-2013","08-Aug-2013"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Annual General Meeting/ Dividend Rs 0.70 Per Share","2","30-Jul-2012","-","01-Aug-2012","09-Aug-2012"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Interim Dividend Re.0.30 Per Share (Purpose Revised)","2","13-Feb-2012","14-Feb-2012","-","-"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Annual General Meeting","2","03-Aug-2011","-","05-Aug-2011","10-Aug-2011"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","EQ","Interim Dividend-Re.0.40 Per Share (Purpose Revised)","2","05-May-2011","06-May-2011","-","-"
