"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"AMBUJACEM","Ambuja Cements Limited","EQ","Dividend - Rs 2 Per Share","2","13-Jun-2025","13-Jun-2025","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ","Dividend - Rs 2 Per Share","2","14-Jun-2024","14-Jun-2024","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ","Dividend - Rs 2.50 Per Share","2","07-Jul-2023","07-Jul-2023","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ","Dividend - Rs 6.30 Per Share","2","30-Mar-2022","01-Apr-2022","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Dividend - Re 1 Per Share","2","19-Mar-2021","22-Mar-2021","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Interim Dividend-Rs 17 Per Share","2","05-Nov-2020","06-Nov-2020","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","2","19-May-2020","20-May-2020","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Dividend - Rs 1.50 Per Share","2","03-Apr-2020","07-Apr-2020","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Dividend - Rs 1.50 Per Share","2","27-Feb-2019","-","01-Mar-2019","08-Mar-2019"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Dividend - Rs 2 Per Share","2","05-Apr-2018","-","09-Apr-2018","13-Apr-2018"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Interim Dividend - Rs 1.60 Per Share","2","02-Aug-2017","03-Aug-2017","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Dividend - Rs 1.20 Per Share","2","16-Mar-2017","-","20-Mar-2017","24-Mar-2017"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Interim Dividend - Rs 1.60/- Per Share (Purpose Revised)","2","02-Aug-2016","03-Aug-2016","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ"," Final Dividend - Rs 1.20/- Per Share","2","22-Feb-2016","-","24-Feb-2016","29-Feb-2016"
"AMBUJACEM","Ambuja Cements Limited","EQ","Interim Dividend - Rs 1.60/- Per Share (Purpose Revised)","2","31-Jul-2015","03-Aug-2015","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ","Annual General Meeting / Final Dividend - Rs 3.20/- Per Share","2","02-Mar-2015","-","04-Mar-2015","11-Mar-2015"
"AMBUJACEM","Ambuja Cements Limited","EQ","Interim Dividend - Rs 1.80/- Per Share (Purpose Revised)","2","30-Jul-2014","31-Jul-2014","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ","Final Dividend Rs.2.20/- Per Share (Purpose Revised)","2","12-Feb-2014","-","14-Feb-2014","21-Feb-2014"
"AMBUJACEM","Ambuja Cements Limited","EQ","Interim Dividend Rs.1.40 Per Share (Purpose Revised)","2","30-Jul-2013","31-Jul-2013","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ","Dividend Rs 2.20 Per Sahre","2","18-Feb-2013","-","21-Feb-2013","28-Feb-2013"
