"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ASIANPAINT","Asian Paints Limited","EQ","Dividend - Rs 20.55 Per Share","1","10-Jun-2025","10-Jun-2025","-","-"
"ASIANPAINT","Asian Paints Limited","EQ","Interim Dividend - Rs 4.25 Per Share","1","19-Nov-2024","19-Nov-2024","-","-"
"ASIANPAINT","Asian Paints Limited","EQ","Dividend - Rs 28.15 Per Share","1","11-Jun-2024","11-Jun-2024","-","-"
"ASIANPAINT","Asian Paints Limited","EQ","Interim Dividend - Rs 5.15 Per Share","1","03-Nov-2023","03-Nov-2023","-","-"
"ASIANPAINT","Asian Paints Limited","EQ","Dividend - Rs 21.25 Per Share","1","09-Jun-2023","09-Jun-2023","-","-"
"ASIANPAINT","Asian Paints Limited","EQ","Interim Dividend - Rs 4.40 Per Share","1","31-Oct-2022","01-Nov-2022","-","-"
"ASIANPAINT","Asian Paints Limited","EQ","Dividend - Rs 15.50 Per Share","1","09-Jun-2022","10-Jun-2022","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend - Rs 3.65 Per Share","1","28-Oct-2021","29-Oct-2021","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Dividend - Rs 14.50 Per Sh","1","10-Jun-2021","11-Jun-2021","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend - Rs 3.35 Per Share","1","28-Oct-2020","30-Oct-2020","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Annual General Meeting/Dividend - Rs  1.50 Per Share","1","23-Jul-2020","-","25-Jul-2020","05-Aug-2020"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend - Rs 7.15 Per Share","1","03-Mar-2020","04-Mar-2020","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend - Rs 3.35 Per Sh","1","30-Oct-2019","31-Oct-2019","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Dividend Rs -7.65 Per Share","1","13-Jun-2019","-","15-Jun-2019","27-Jun-2019"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend - Rs 2.85 Per Sh","1","29-Oct-2018","30-Oct-2018","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Dividend- Rs 6.05 Per Share","1","14-Jun-2018","-","16-Jun-2018","26-Jun-2018"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend - Rs 2.65 Per Share (Purpose Revised)","1","31-Oct-2017","01-Nov-2017","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Annual General Meeting/Dividend Rs 5.65 Per Share + Special Dividend Rs 2/- Per Share","1","15-Jun-2017","-","17-Jun-2017","27-Jun-2017"
"ASIANPAINT","Asian Paints Limited","EQ"," Interim Dividend Rs 2.65 Per Share (Purpose Revised)","1","01-Nov-2016","02-Nov-2016","-","-"
"ASIANPAINT","Asian Paints Limited","EQ"," Annul General Meeting/ Dividend - Rs 5.30/- Per Share","1","16-Jun-2016","-","18-Jun-2016","28-Jun-2016"
