"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"AXISBANK","Axis Bank Limited","EQ","Dividend - Re 1 Per Sh","2","04-Jul-2025","04-Jul-2025","-","-"
"AXISBANK","Axis Bank Limited","EQ","Dividend - Re 1 Per Share","2","12-Jul-2024","12-Jul-2024","-","-"
"AXISBANK","Axis Bank Limited","EQ","Dividend - Re 1 Per Share","2","07-Jul-2023","07-Jul-2023","-","-"
"AXISBANK","Axis Bank Limited","EQ","Dividend - Rs 1 Per Share","2","07-Jul-2022","08-Jul-2022","-","-"
"AXISBANK","Axis Bank Limited","EQ"," Annual General Meeting/ Dividend - Re 1 Per Share","2","04-Jul-2019","-","06-Jul-2019","20-Jul-2019"
"AXISBANK","Axis Bank Limited","EQ"," Annual General Meeting","2","31-May-2018","-","02-Jun-2018","20-Jun-2018"
"AXISBANK","Axis Bank Limited","EQ"," Annual General Meeting/Dividend - Rs 5/- Per Share","2","06-Jul-2017","-","08-Jul-2017","26-Jul-2017"
"AXISBANK","Axis Bank Limited","EQ"," Annual General Meeting/ Dividend-Rs 5/- Per Share","2","07-Jul-2016","-","09-Jul-2016","22-Jul-2016"
"AXISBANK","Axis Bank Limited","EQ","Annual General Meeting/Dividend Rs 4.60/- Per Share","2","09-Jul-2015","-","13-Jul-2015","24-Jul-2015"
"AXISBANK","Axis Bank Limited","EQ","Face Value Split From Rs 10/- To Rs 2/- Per Share","2","28-Jul-2014","30-Jul-2014","-","-"
"AXISBANK","Axis Bank Limited","EQ","Annual General Meeting / Dividend Rs.20/- Per Equity Share","2","12-Jun-2014","-","16-Jun-2014","27-Jun-2014"
"AXISBANK","Axis Bank Limited","EQ","Annual General Meeting / Dividend Rs.18/- Per Equity Share","2","05-Jul-2013","-","09-Jul-2013","19-Jul-2013"
"AXISBANK","Axis Bank Limited","EQ","Annual General Meeting And Dividend Rs.16/- Per Share","2","14-Jun-2012","-","16-Jun-2012","22-Jun-2012"
"AXISBANK","Axis Bank Limited","EQ","Annual General Meeting And Dividend Rs.14/- Per Share","2","08-Jun-2011","-","10-Jun-2011","17-Jun-2011"
"AXISBANK","Axis Bank Limited","EQ","Agm/Div-Rs.12/- Per Share","2","20-May-2010","-","24-May-2010","08-Jun-2010"
"AXISBANK","Axis Bank Limited","EQ","Agm/Dividend - 100%","2","14-May-2009","-","18-May-2009","01-Jun-2009"
"AXISBANK","Axis Bank Limited","EQ","Agm/Dividend - 60%","2","22-May-2008","-","26-May-2008","06-Jun-2008"
"AXISBANK","Axis Bank Limited","EQ","Agm/Dividend-45%","2","17-May-2007","-","21-May-2007","01-Jun-2007"
"AXISBANK","Axis Bank Limited","EQ","Agm/Dividend-35%","2","16-May-2006","-","18-May-2006","02-Jun-2006"
