"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Dividend - Rs 210 Per Share","10","20-Jun-2025","20-Jun-2025","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Dividend - Rs 80 Per Share","10","14-Jun-2024","14-Jun-2024","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Buy Back","10","29-Feb-2024","29-Feb-2024","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Dividend - Rs 140 Per Share","10","30-Jun-2023","30-Jun-2023","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Dividend - Rs 140 Per Share","10","30-Jun-2022","01-Jul-2022","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ"," Annual General Meeting/Dividend - Rs 140 Per Share","10","08-Jul-2021","-","10-Jul-2021","22-Jul-2021"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ"," Interim Dividend - Rs 120 Per Share","10","03-Mar-2020","04-Mar-2020","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ"," Annual General Meeting/ Dividend - Rs 60 Per Share","10","11-Jul-2019","-","13-Jul-2019","26-Jul-2019"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ"," Annual General Meeting / Dividend- Rs 60 Per Share","10","05-Jul-2018","-","07-Jul-2018","20-Jul-2018"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ"," Annual General Meeting/Dividend - Rs 55/- Per Share","10","06-Jul-2017","-","08-Jul-2017","20-Jul-2017"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ"," Annual General Meeting/ Dividend - Rs 5/- Per Share","10","14-Jul-2016","-","16-Jul-2016","27-Jul-2016"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ"," Interim Dividend - Rs 50/- Per Share (Purpose Revised)","10","16-Mar-2016","17-Mar-2016","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Annual General Meeting/Dividend Rs 50/- Per Share","10","09-Jul-2015","-","11-Jul-2015","23-Jul-2015"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Annual General Meeting / Dividend - Rs 50/- Per Share","10","03-Jul-2014","-","05-Jul-2014","17-Jul-2014"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Annual General Meeting / Dividend - Rs.45/- Per Equity Share","10","04-Jul-2013","-","06-Jul-2013","19-Jul-2013"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Annual General Meeting And Dividend - Rs.45/- Per Share","10","05-Jul-2012","-","07-Jul-2012","18-Jul-2012"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Annual General Meeting And Dividend Rs.40/- Per Share","10","29-Jun-2011","-","01-Jul-2011","14-Jul-2011"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Bonus 1:1","10","08-Sep-2010","10-Sep-2010","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Annual General Meeting / Dividend Rs.40/- Per Share","10","08-Jul-2010","-","10-Jul-2010","22-Jul-2010"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Agm/Div.Rs.22/-Per Share","10","02-Jul-2009","-","04-Jul-2009","16-Jul-2009"
