"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Dividend - Re 1 Per Share","1","27-Jun-2025","27-Jun-2025","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Dividend - Re 1 Per Share","1","21-Jun-2024","21-Jun-2024","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Dividend - Rs 0.80 Per Share","1","30-Jun-2023","30-Jun-2023","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share","1","13-Sep-2022","14-Sep-2022","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Bonus 1:1","1","13-Sep-2022","14-Sep-2022","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Dividend - Rs 4 Per Share","1","30-Jun-2022","01-Jul-2022","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ"," Annual General Meeting/Dividend - Rs 3 Per Share","1","08-Jul-2021","-","10-Jul-2021","21-Jul-2021"
"BAJAJFINSV","Bajaj Finserv Limited","EQ"," Interim Dividend - Rs 5 Per Share","1","03-Mar-2020","04-Mar-2020","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ"," Annual General Meeting/ Dividend - Rs 2.50 Per Share","1","11-Jul-2019","-","13-Jul-2019","25-Jul-2019"
"BAJAJFINSV","Bajaj Finserv Limited","EQ"," Annual General Meeting / Dividend- Rs 1.75 Per Share","1","05-Jul-2018","-","07-Jul-2018","19-Jul-2018"
"BAJAJFINSV","Bajaj Finserv Limited","EQ"," Annual General Meeting/Div-Rs 1.75 Per Share","1","06-Jul-2017","-","08-Jul-2017","19-Jul-2017"
"BAJAJFINSV","Bajaj Finserv Limited","EQ"," Interim Dividend - Rs 1.75/- Per Share (Purpose Revised)","1","16-Mar-2016","17-Mar-2016","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Annual General Meeting/Dividend Rs 1.75 Per Share","1","09-Jul-2015","-","11-Jul-2015","22-Jul-2015"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Annual General Meeting / Dividend - Rs 1.75/- Per Share","1","03-Jul-2014","-","05-Jul-2014","16-Jul-2014"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Annual General Meeting / Dividend Rs.1.50/- Per Equity Share","1","04-Jul-2013","-","06-Jul-2013","18-Jul-2013"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Rights 1:10 @ Premium Rs.645/- Per Share","1","06-Sep-2012","08-Sep-2012","-","-"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Annual General Meeting And Dividend - Rs.1.50 Per Share","1","05-Jul-2012","-","07-Jul-2012","17-Jul-2012"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Annual General Meeting And Dividend Rs.1.25 Per Share","1","29-Jun-2011","-","01-Jul-2011","13-Jul-2011"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Annual General Meeting / Dividend Re. 1 Per Share","1","08-Jul-2010","-","10-Jul-2010","21-Jul-2010"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Agm/Div-Re.1/- Per Share","1","02-Jul-2009","-","04-Jul-2009","15-Jul-2009"
