"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Interim Dividend - Rs 65 Per Share","10","22-Sep-2025","22-Sep-2025","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Dividend - Rs 28 Per Share","10","27-Jun-2025","27-Jun-2025","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Interim Dividend - Rs 65 Per Share","10","25-Sep-2024","25-Sep-2024","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Dividend - Rs 21 Per Share","10","28-Jun-2024","28-Jun-2024","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Interim Dividend - Rs 110 Per Share","10","28-Sep-2023","29-Sep-2023","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Dividend - Rs 13 Per Share","10","30-Jun-2023","30-Jun-2023","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Interim Dividend - Rs  110 Per Share","10","22-Sep-2022","23-Sep-2022","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Dividend - Rs 25 Per Share","10","30-Jun-2022","01-Jul-2022","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Interim Dividend - Rs 90 Per Share","10","28-Sep-2021","29-Sep-2021","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Annual General Meeting/Dividend - Rs 40 Per Share","10","08-Jul-2021","-","10-Jul-2021","22-Jul-2021"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Interim Dividend - Rs 40 Per Share","10","03-Mar-2020","04-Mar-2020","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Annual General Meeting/ Dividend - Rs 32.50 Per Share","10","11-Jul-2019","-","13-Jul-2019","26-Jul-2019"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Annual General Meeting / Dividend- Rs 40 Per Share","10","05-Jul-2018","-","07-Jul-2018","20-Jul-2018"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Annual General Meeting/Dividend - Rs  32.50 Per Share","10","06-Jul-2017","-","08-Jul-2017","20-Jul-2017"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Annual General Meeting/ Dividend - Rs 7.50/- Per Share","10","14-Jul-2016","-","16-Jul-2016","27-Jul-2016"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ"," Interim Dividend - Rs 25/- Per Share (Purpose Revised)","10","16-Mar-2016","17-Mar-2016","-","-"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Annual General Meeting/Dividend Rs 32.50/- Per Share","10","09-Jul-2015","-","11-Jul-2015","23-Jul-2015"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Annual General Meeting / Dividend - Rs 30/- Per Share","10","03-Jul-2014","-","05-Jul-2014","17-Jul-2014"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Annual General Meeting / Dividend - Rs.25/- Per Equity Share","10","04-Jul-2013","-","06-Jul-2013","19-Jul-2013"
"BAJAJHLDNG","Bajaj Holdings & Investment Limited","EQ","Annual General Meeting And Dividend - Rs.25/- Per Share","10","05-Jul-2012","-","07-Jul-2012","18-Jul-2012"
