"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BAJFINANCE","Bajaj Finance Limited","EQ","Bonus 4:1","1","16-Jun-2025","16-Jun-2025","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share","1","16-Jun-2025","16-Jun-2025","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Dividend - Rs 44 Per Share","1","30-May-2025","30-May-2025","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Special Dividend - Rs 12 Per Share","1","09-May-2025","09-May-2025","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Dividend - Rs 36 Per Share","1","21-Jun-2024","21-Jun-2024","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Dividend - Rs 30 Per Share","1","30-Jun-2023","30-Jun-2023","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Dividend - Rs 20 Per Share","1","30-Jun-2022","01-Jul-2022","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Annual General Meeting/Dividend - Rs 10 Per Share","1","08-Jul-2021","-","10-Jul-2021","20-Jul-2021"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Interim Dividend - Rs 10 Per Share","1","03-Mar-2020","04-Mar-2020","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Annual General Meeting/ Dividend - Rs 6 Per Share","1","11-Jul-2019","-","13-Jul-2019","25-Jul-2019"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Annual General Meeting / Dividend- Rs 4 Per Share","1","05-Jul-2018","-","07-Jul-2018","19-Jul-2018"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Annual General Meeting/Dividend - Rs 3.60/- Per Share","1","06-Jul-2017","-","08-Jul-2017","19-Jul-2017"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share","1","08-Sep-2016","10-Sep-2016","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Dividend Rs 7/- Per Share","1","14-Jul-2016","-","16-Jul-2016","26-Jul-2016"
"BAJFINANCE","Bajaj Finance Limited","EQ"," Interim Dividend - Rs 18/- Per Share (Purpose Revised)","1","16-Mar-2016","17-Mar-2016","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Annual General Meeting / Dividend - Rs 18/- Per Share","1","09-Jul-2015","-","11-Jul-2015","22-Jul-2015"
"BAJFINANCE","Bajaj Finance Limited","EQ","Annual General Meeting And Dividend Rs.16/- Per Share","1","03-Jul-2014","-","05-Jul-2014","16-Jul-2014"
"BAJFINANCE","Bajaj Finance Limited","EQ","Annual General Meeting And Dividend Rs.15/- Per Share","1","04-Jul-2013","-","06-Jul-2013","18-Jul-2013"
"BAJFINANCE","Bajaj Finance Limited","EQ","Rights 3:19 @ Premium Rs 1090 Per Share","1","23-Jan-2013","25-Jan-2013","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Annual General Meeting And Dividend - Rs.12/- Per Share","1","05-Jul-2012","-","07-Jul-2012","17-Jul-2012"
