"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BEL","Bharat Electronics Limited","EQ","Dividend - Rs 0.90 Per Share","1","14-Aug-2025","14-Aug-2025","-","-"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend - Rs 1.5 Per Share","1","11-Mar-2025","11-Mar-2025","-","-"
"BEL","Bharat Electronics Limited","EQ","Annual General Meeting/Dividend - Re 0.80 Per Share","1","14-Aug-2024","-","16-Aug-2024","18-Aug-2024"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend - Re 0.70 Per Share","1","22-Mar-2024","23-Mar-2024","-","-"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend - Re 0.70 Per Share","1","09-Feb-2024","10-Feb-2024","-","-"
"BEL","Bharat Electronics Limited","EQ","Annual General Meeting/Dividend - Re 0.60 Per Share","1","17-Aug-2023","-","18-Aug-2023","20-Aug-2023"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend - Rs 0.60 Per Share","1","24-Mar-2023","25-Mar-2023","-","-"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend - Re 0.60 Per Share","1","10-Feb-2023","10-Feb-2023","-","-"
"BEL","Bharat Electronics Limited","EQ","Bonus 2:1","1","15-Sep-2022","16-Sep-2022","-","-"
"BEL","Bharat Electronics Limited","EQ","Annual General Meeting/Dividend - Rs 1.50 Per Share","1","08-Aug-2022","-","11-Aug-2022","14-Aug-2022"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend - Rs 1.50 Per Share","1","24-Mar-2022","26-Mar-2022","-","-"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend - Rs 1.50 Per Share","1","09-Feb-2022","10-Feb-2022","-","-"
"BEL","Bharat Electronics Limited","EQ"," Annual General Meeting/Dividend - Rs 1.20 Per Share","1","14-Sep-2021","-","16-Sep-2021","19-Sep-2021"
"BEL","Bharat Electronics Limited","EQ"," Interim Dividend - Rs 1.40  Per Share","1","23-Mar-2021","24-Mar-2021","-","-"
"BEL","Bharat Electronics Limited","EQ"," Interim Dividend - Rs 1.40 Per Share","1","08-Feb-2021","09-Feb-2021","-","-"
"BEL","Bharat Electronics Limited","EQ"," Annual General Meeting/Dividend - Rs 1.40 Per Share","1","15-Sep-2020","-","17-Sep-2020","20-Sep-2020"
"BEL","Bharat Electronics Limited","EQ"," Interim Dividend - Rs 1.40 Per Share","1","11-Feb-2020","12-Feb-2020","-","-"
"BEL","Bharat Electronics Limited","EQ"," Annual General Meeting/Dividend - Rs 1.70 Per Share","1","20-Aug-2019","-","22-Aug-2019","24-Aug-2019"
"BEL","Bharat Electronics Limited","EQ"," Interim Dividend - Re 0.70 Per Share","1","27-Mar-2019","28-Mar-2019","-","-"
"BEL","Bharat Electronics Limited","EQ"," Interim Dividend - Re 0.70 Per Share","1","19-Mar-2019","20-Mar-2019","-","-"
