"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BHARTIARTL","Bharti Airtel Limited","EQ","Dividend - Rs 16 Per Share","5","18-Jul-2025","18-Jul-2025","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ","Dividend - Rs 8 Per Share","5","07-Aug-2024","07-Aug-2024","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ","Dividend - Rs 4 Per Share","5","11-Aug-2023","11-Aug-2023","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ","Dividend - Rs 3 Per Share","5","01-Aug-2022","02-Aug-2022","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Rights 1:14 @ Premium Rs 530/-","5","27-Sep-2021","28-Sep-2021","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Dividend - Rs 2 Per Share","5","06-Aug-2020","07-Aug-2020","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Rights 19:67 @ Premium Rs 215 Per Share","5","23-Apr-2019","24-Apr-2019","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Interim Dividend Rs - 2.50 Per Share","5","05-Nov-2018","06-Nov-2018","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Annual General Meeting/Dividend Rs 2.50 Per Share","5","02-Aug-2018","-","04-Aug-2018","08-Aug-2018"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Interim Dividend - Rs 2.84 Per Share","5","30-Jan-2018","31-Jan-2018","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Annual General Meeting/Dividend - Re 1 Per Share","5","13-Jul-2017","-","15-Jul-2017","24-Jul-2017"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Annual General Meeting/ Dividend - Rs 1.36/- Per Share","5","11-Aug-2016","-","13-Aug-2016","19-Aug-2016"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Dividend - Rs 2.22/- Per Share","5","13-Aug-2015","-","15-Aug-2015","21-Aug-2015"
"BHARTIARTL","Bharti Airtel Limited","EQ","Annual General Meeting / Final Dividend - Rs 1.80/- Per Share / Interim Dividend - Rs 1.63/- Per Share (Purpose Revised)","5","21-Aug-2014","-","23-Aug-2014","01-Sep-2014"
"BHARTIARTL","Bharti Airtel Limited","EQ","Annual General Meeting / Dividend Re 1 Per Share","5","23-May-2013","-","25-May-2013","31-May-2013"
"BHARTIARTL","Bharti Airtel Limited","EQ","Annual General Meeting / Dividend Rs 1 Per Share","5","16-Aug-2012","-","18-Aug-2012","06-Sep-2012"
"BHARTIARTL","Bharti Airtel Limited","EQ","Annual General Meeting And Dividend Re.1/- Per Share","5","17-Aug-2011","-","20-Aug-2011","01-Sep-2011"
"BHARTIARTL","Bharti Airtel Limited","EQ","Annual General Meeting And Dividend Re.1/- Per Share","5","18-Aug-2010","-","21-Aug-2010","01-Sep-2010"
"BHARTIARTL","Bharti Airtel Limited","EQ","Agm/Div-Rs.2/Fv Rs10tors5","5","24-Jul-2009","-","31-Jul-2009","21-Aug-2009"
"BHARTIARTL","Bharti Airtel Limited","EQ","Annual General Meeting","5","24-Jul-2008","-","26-Jul-2008","01-Aug-2008"
