"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Interim Dividend - Rs 7.50 Per Share","10","07-Nov-2025","07-Nov-2025","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Dividend - Rs 5 Per Share","10","31-Jul-2025","31-Jul-2025","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Interim Dividend - Rs 5 Per Share","10","29-Jan-2025","29-Jan-2025","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Dividend - Rs 10.5 Per Share","10","09-Aug-2024","09-Aug-2024","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Bonus 1:1","10","21-Jun-2024","22-Jun-2024","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Interim Dividend - Rs 21 Per Share","10","12-Dec-2023","12-Dec-2023","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Dividend - Rs 4 Per Share","10","11-Aug-2023","11-Aug-2023","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Annual General Meeting/Dividend - Rs 6 Per Share","10","19-Aug-2022","-","23-Aug-2022","29-Aug-2022"
"BPCL","Bharat Petroleum Corporation Limited","EQ","Interim Dividend - Rs 5 Per Share","10","10-Feb-2022","11-Feb-2022","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","11-Nov-2021","12-Nov-2021","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Annual General Meeting/Dividend - Rs 23 Per Share/Special Dividend - Rs 35 Per Share","10","16-Sep-2021","-","18-Sep-2021","27-Sep-2021"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","25-Mar-2021","27-Mar-2021","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 16 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Annual General Meeting","10","18-Sep-2020","-","22-Sep-2020","28-Sep-2020"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 16.50 Per Share","10","23-Mar-2020","24-Mar-2020","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Dividend - Rs 8 Per Share","10","21-Aug-2019","-","23-Aug-2019","30-Aug-2019"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Interim Dividend Rs - 11 Per Share","10","21-Feb-2019","23-Feb-2019","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Annual General Meeting/Dividend Rs- 7 Per Share","10","31-Aug-2018","-","04-Sep-2018","11-Sep-2018"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 14 Per Share","10","22-Feb-2018","24-Feb-2018","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Bonus 1:2","10","13-Jul-2017","15-Jul-2017","-","-"
