"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CIPLA","Cipla Limited","EQ","Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share","2","27-Jun-2025","27-Jun-2025","-","-"
"CIPLA","Cipla Limited","EQ","Dividend - Rs 13 Per Share","2","02-Aug-2024","02-Aug-2024","-","-"
"CIPLA","Cipla Limited","EQ","Dividend - Rs 8.50 Per Share","2","21-Jul-2023","21-Jul-2023","-","-"
"CIPLA","Cipla Limited","EQ","Dividend - Rs 5 Per Share","2","08-Aug-2022","10-Aug-2022","-","-"
"CIPLA","Cipla Limited","EQ"," Annual General Meeting/Dividend - Rs 5 Per Share","2","09-Aug-2021","-","11-Aug-2021","25-Aug-2021"
"CIPLA","Cipla Limited","EQ"," Annual General Meeting","2","11-Aug-2020","-","13-Aug-2020","27-Aug-2020"
"CIPLA","Cipla Limited","EQ"," Interim Dividend - Rs 3 Per Share Special Dividend - Re 1 Per Share","2","19-Mar-2020","20-Mar-2020","-","-"
"CIPLA","Cipla Limited","EQ"," Annual General Meeting/Dividend - Rs 3 Per Share","2","31-Jul-2019","-","02-Aug-2019","16-Aug-2019"
"CIPLA","Cipla Limited","EQ"," Annual General Meeting/Dividend- Rs 3 Per Share","2","13-Aug-2018","-","16-Aug-2018","30-Aug-2018"
"CIPLA","Cipla Limited","EQ"," Annual General Meeting/Dividend - Rs 2/- Per Share","2","26-Jul-2017","-","28-Jul-2017","11-Aug-2017"
"CIPLA","Cipla Limited","EQ"," Annual General Meeting/Dividend Rs 2/- Per Share","2","12-Sep-2016","-","15-Sep-2016","28-Sep-2016"
"CIPLA","Cipla Limited","EQ","Annual General Meeting/Dividend - Rs 2/- Per Share","2","11-Aug-2015","-","13-Aug-2015","27-Aug-2015"
"CIPLA","Cipla Limited","EQ","Annual General Meeting/Dividend Rs 2/- Per Equity Share","2","06-Aug-2014","-","08-Aug-2014","22-Aug-2014"
"CIPLA","Cipla Limited","EQ","Annual General Meeting/Dividend Rs 2/- Per Equity Share","2","06-Aug-2013","-","08-Aug-2013","22-Aug-2013"
"CIPLA","Cipla Limited","EQ","Annual General Meeting And Dividend - Rs.2/- Per Share","2","01-Aug-2012","-","03-Aug-2012","17-Aug-2012"
"CIPLA","Cipla Limited","EQ","Annual General Meeting And Dividend Rs.2/- Per Share","2","09-Aug-2011","-","11-Aug-2011","25-Aug-2011"
"CIPLA","Cipla Limited","EQ","Special Interim Dividend Re.0.80 Per Share","2","03-Sep-2010","06-Sep-2010","-","-"
"CIPLA","Cipla Limited","EQ","Annual General Meeting And Dividend Rs.2/- Per Share","2","23-Jul-2010","-","27-Jul-2010","30-Jul-2010"
"CIPLA","Cipla Limited","EQ","Agm/Div-Rs.2/- Per Share","2","10-Aug-2009","-","12-Aug-2009","26-Aug-2009"
"CIPLA","Cipla Limited","EQ","Dividend - Rs.2 Per Share","2","12-Aug-2008","-","14-Aug-2008","28-Aug-2008"
