"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 10.25 Per Share","10","04-Nov-2025","04-Nov-2025","-","-"
"COALINDIA","Coal India Limited","EQ","Dividend - Rs 5.15 Per Share","10","21-Aug-2025","21-Aug-2025","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 5.50 Per Share","10","06-Aug-2025","06-Aug-2025","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 5.60 Per Share","10","31-Jan-2025","31-Jan-2025","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 15.75 Per Share","10","05-Nov-2024","05-Nov-2024","-","-"
"COALINDIA","Coal India Limited","EQ","Dividend - Rs 5 Per Share","10","16-Aug-2024","16-Aug-2024","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 5.25 Per Share","10","20-Feb-2024","20-Feb-2024","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 15.25 Per Share","10","21-Nov-2023","21-Nov-2023","-","-"
"COALINDIA","Coal India Limited","EQ","Dividend - Rs 4 Per Share","10","18-Aug-2023","18-Aug-2023","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 5.25 Per Share","10","08-Feb-2023","08-Feb-2023","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 15 Per Share","10","15-Nov-2022","16-Nov-2022","-","-"
"COALINDIA","Coal India Limited","EQ","Dividend - Rs 3 Per Share","10","11-Aug-2022","12-Aug-2022","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 5 Per Share","10","21-Feb-2022","22-Feb-2022","-","-"
"COALINDIA","Coal India Limited","EQ"," Interim Dividend - Rs 9 Per Sh","10","06-Dec-2021","07-Dec-2021","-","-"
"COALINDIA","Coal India Limited","EQ"," Dividend - Rs 3.50 Per Share","10","02-Sep-2021","03-Sep-2021","-","-"
"COALINDIA","Coal India Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","15-Mar-2021","16-Mar-2021","-","-"
"COALINDIA","Coal India Limited","EQ"," Interim Dividend - Rs 7.50 Per Share","10","19-Nov-2020","20-Nov-2020","-","-"
"COALINDIA","Coal India Limited","EQ"," Annual General Meeting","10","14-Sep-2020","-","16-Sep-2020","23-Sep-2020"
"COALINDIA","Coal India Limited","EQ"," Interim Dividend - Rs 12 Per Share","10","19-Mar-2020","20-Mar-2020","-","-"
"COALINDIA","Coal India Limited","EQ"," Annual General Meeting","10","09-Aug-2019","-","14-Aug-2019","21-Aug-2019"
