"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"DIVISLAB","Divi's Laboratories Limited","EQ","Dividend - Rs 30 Per Share","2","25-Jul-2025","25-Jul-2025","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ","Dividend - Rs 30 Per Share","2","02-Aug-2024","02-Aug-2024","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ","Dividend - Rs 30 Per Share","2","11-Aug-2023","11-Aug-2023","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ","Dividend - Rs 30 Per Share","2","11-Aug-2022","12-Aug-2022","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Dividend - Rs 20 Per Share","2","17-Aug-2021","-","20-Aug-2021","22-Aug-2021"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Annual General Meeting","2","04-Sep-2020","-","08-Sep-2020","14-Sep-2020"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Interim Dividend - Rs 16 Per Share","2","25-Feb-2020","26-Feb-2020","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Annual General Meeting/Dividend - Rs 16 Per Share","2","14-Aug-2019","-","17-Aug-2019","23-Aug-2019"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Annual General Meeting/Dividend- Rs 10 Per Share","2","31-Aug-2018","-","04-Sep-2018","10-Sep-2018"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Annual General Meeting/Dividend - Rs 10/- Per Share","2","15-Sep-2017","-","19-Sep-2017","25-Sep-2017"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Annnual General Meeting","2","18-Aug-2016","-","22-Aug-2016","26-Aug-2016"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Interim Dividend - Rs 10/- Per Share (Purpose Revised)","2","17-Mar-2016","18-Mar-2016","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ"," Bonus 1:1","2","23-Sep-2015","26-Sep-2015","-","-"
"DIVISLAB","Divi's Laboratories Limited","EQ","Annual General Meeting/Dividend - Rs 20/- Per Share","2","06-Aug-2015","-","10-Aug-2015","14-Aug-2015"
"DIVISLAB","Divi's Laboratories Limited","EQ","Annual General Meeting / Dividend - Rs 20/- Per Share","2","31-Jul-2014","-","04-Aug-2014","08-Aug-2014"
"DIVISLAB","Divi's Laboratories Limited","EQ","Annual General Meeting/Dividend Rs 15/- Per Share","2","25-Jul-2013","-","29-Jul-2013","02-Aug-2013"
"DIVISLAB","Divi's Laboratories Limited","EQ","Annual General Meeting/ Dividend Of Rs. 13 Per Share","2","26-Jul-2012","-","30-Jul-2012","03-Aug-2012"
"DIVISLAB","Divi's Laboratories Limited","EQ","Annual General Meeting And Dividend Rs.10/- Per Share","2","16-Jun-2011","-","18-Jun-2011","24-Jun-2011"
"DIVISLAB","Divi's Laboratories Limited","EQ","Annual General Meeting And Dividend Rs.6/- Per Share","2","02-Jul-2010","-","06-Jul-2010","10-Jul-2010"
"DIVISLAB","Divi's Laboratories Limited","EQ","Bonus-1:1","2","30-Jul-2009","01-Aug-2009","-","-"
