"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"EICHERMOT","Eicher Motors Limited","EQ","Dividend - Rs 70 Per Share","1","01-Aug-2025","01-Aug-2025","-","-"
"EICHERMOT","Eicher Motors Limited","EQ","Dividend - Rs 51 Per Share","1","07-Aug-2024","07-Aug-2024","-","-"
"EICHERMOT","Eicher Motors Limited","EQ","Annual General Meeting/Dividend - Rs  37 Per Share","1","14-Aug-2023","-","17-Aug-2023","23-Aug-2023"
"EICHERMOT","Eicher Motors Limited","EQ","Annual General Meeting/Dividend - Rs 21 Per Share","1","12-Aug-2022","-","18-Aug-2022","24-Aug-2022"
"EICHERMOT","Eicher Motors Limited","EQ"," Annual General Meeting/Dividend - Rs 17 Per Share","1","09-Aug-2021","-","11-Aug-2021","17-Aug-2021"
"EICHERMOT","Eicher Motors Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share","1","24-Aug-2020","25-Aug-2020","-","-"
"EICHERMOT","Eicher Motors Limited","EQ"," Interim Dividend - Rs 125 Per Share","1","19-Mar-2020","21-Mar-2020","-","-"
"EICHERMOT","Eicher Motors Limited","EQ"," Annual General Meeting/ Dividend - Rs 125 Per Share","1","24-Jul-2019","-","26-Jul-2019","01-Aug-2019"
"EICHERMOT","Eicher Motors Limited","EQ"," Annual General Meeting / Dividend- Rs 110 Per Share","1","02-Aug-2018","-","04-Aug-2018","10-Aug-2018"
"EICHERMOT","Eicher Motors Limited","EQ"," Annual General Meeting/Dividend - Rs 100/- Per Share","1","31-Jul-2017","-","02-Aug-2017","08-Aug-2017"
"EICHERMOT","Eicher Motors Limited","EQ"," Interim Dividend - Rs 100/- Per Share","1","22-Mar-2016","23-Mar-2016","-","-"
"EICHERMOT","Eicher Motors Limited","EQ","Annual General Meeting / Dividend - Rs 50/- Per Share (Agm And Book Closure Dates Revised)","1","11-Mar-2015","-","13-Mar-2015","20-Mar-2015"
"EICHERMOT","Eicher Motors Limited","EQ","Annual General Meeting/Dividend Rs 30/- Per Share","1","12-Mar-2014","-","14-Mar-2014","21-Mar-2014"
"EICHERMOT","Eicher Motors Limited","EQ","Annual General Meeting/Dividend Rs 20 Per Share","1","13-Mar-2013","-","15-Mar-2013","22-Mar-2013"
"EICHERMOT","Eicher Motors Limited","EQ","Dividend-Rs.16 Per Share","1","13-Mar-2012","-","15-Mar-2012","22-Mar-2012"
"EICHERMOT","Eicher Motors Limited","EQ","Dividend-Rs.11/- Per Share","1","08-Mar-2011","-","10-Mar-2011","18-Mar-2011"
"EICHERMOT","Eicher Motors Limited","EQ","Dividend-Rs.7/- Per Share","1","05-Mar-2010","-","09-Mar-2010","15-Mar-2010"
"EICHERMOT","Eicher Motors Limited","EQ","Agm/Dividend - 50%","1","20-May-2009","-","22-May-2009","29-May-2009"
"EICHERMOT","Eicher Motors Limited","EQ","Agm/Dividend - 50%","1","26-May-2008","-","28-May-2008","04-Jun-2008"
"EICHERMOT","Eicher Motors Limited","EQ","Annual General Meeting","1","20-Jun-2007","-","22-Jun-2007","29-Jun-2007"
