"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"GAIL","GAIL (India) Limited","EQ","Dividend - Re 1 Per Share","10","04-Aug-2025","04-Aug-2025","-","-"
"GAIL","GAIL (India) Limited","EQ","Interim Dividend - Rs 6.50 Per Share","10","07-Feb-2025","07-Feb-2025","-","-"
"GAIL","GAIL (India) Limited","EQ","Interim Dividend - Rs 5.50 Per Share","10","06-Feb-2024","06-Feb-2024","-","-"
"GAIL","GAIL (India) Limited","EQ","Interim Dividend - Rs 4 Per Share","10","21-Mar-2023","21-Mar-2023","-","-"
"GAIL","GAIL (India) Limited","EQ","Bonus 1:2","10","06-Sep-2022","07-Sep-2022","-","-"
"GAIL","GAIL (India) Limited","EQ","Dividend - Rs 1 Per Share","10","01-Aug-2022","02-Aug-2022","-","-"
"GAIL","GAIL (India) Limited","EQ","Buyback","10","21-Apr-2022","22-Apr-2022","-","-"
"GAIL","GAIL (India) Limited","EQ","Interim Dividend - Rs 5  Per Share","10","21-Mar-2022","22-Mar-2022","-","-"
"GAIL","GAIL (India) Limited","EQ","Interim Dividend - Rs 4 Per Share","10","30-Dec-2021","31-Dec-2021","-","-"
"GAIL","GAIL (India) Limited","EQ"," Interim Dividend - Rs 2.5 Per Share","10","22-Mar-2021","23-Mar-2021","-","-"
"GAIL","GAIL (India) Limited","EQ"," Interim Dividend - Rs 2.50 Per Share","10","27-Jan-2021","28-Jan-2021","-","-"
"GAIL","GAIL (India) Limited","EQ"," Buyback","10","27-Jan-2021","28-Jan-2021","-","-"
"GAIL","GAIL (India) Limited","EQ"," Interim Dividend - Rs 6.4 Per Share","10","17-Feb-2020","18-Feb-2020","-","-"
"GAIL","GAIL (India) Limited","EQ"," Dividend - Rs 0.885 Per Share","10","08-Aug-2019","-","13-Aug-2019","20-Aug-2019"
"GAIL","GAIL (India) Limited","EQ"," Bonus 1:1","10","09-Jul-2019","10-Jul-2019","-","-"
"GAIL","GAIL (India) Limited","EQ"," Interim Dividend - Rs 6.25 Per Share","10","12-Feb-2019","13-Feb-2019","-","-"
"GAIL","GAIL (India) Limited","EQ"," Annual General Meeting/Dividend- Rs 1.44 Per Share","10","30-Aug-2018","-","01-Sep-2018","11-Sep-2018"
"GAIL","GAIL (India) Limited","EQ"," Bonus 1:3","10","27-Mar-2018","29-Mar-2018","-","-"
"GAIL","GAIL (India) Limited","EQ"," Interim Dividend - Rs 7.65 Per Share (Purpose Revised)","10","18-Jan-2018","20-Jan-2018","-","-"
"GAIL","GAIL (India) Limited","EQ"," Dividend - Rs 2.70 Per Share","10","31-Aug-2017","-","02-Sep-2017","12-Sep-2017"
