"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share","2","17-Oct-2025","17-Oct-2025","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share","2","18-Jul-2025","18-Jul-2025","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 18 Per Share","2","28-Apr-2025","28-Apr-2025","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share Special Dividend - Rs 6 Per Share","2","17-Jan-2025","17-Jan-2025","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share","2","22-Oct-2024","22-Oct-2024","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share","2","23-Jul-2024","23-Jul-2024","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 18 Per Share","2","07-May-2024","07-May-2024","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share","2","19-Jan-2024","20-Jan-2024","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share","2","20-Oct-2023","20-Oct-2023","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Dividend - Rs 10 Per Share","2","20-Jul-2023","20-Jul-2023","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 18 Per Share","2","28-Apr-2023","28-Apr-2023","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 10 Per Share","2","19-Jan-2023","20-Jan-2023","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 10 Per Share","2","19-Oct-2022","20-Oct-2022","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend- Rs 10 Per Share","2","19-Jul-2022","20-Jul-2022","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend Rs 18 Per Share","2","28-Apr-2022","29-Apr-2022","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend - Rs 10 Per Share","2","20-Jan-2022","22-Jan-2022","-","-"
"HCLTECH","HCL Technologies Limited","EQ"," Interm Dividend - Rs 10 Per Share","2","21-Oct-2021","23-Oct-2021","-","-"
"HCLTECH","HCL Technologies Limited","EQ"," Interim Dividend - Rs 6 Per Share","2","27-Jul-2021","28-Jul-2021","-","-"
"HCLTECH","HCL Technologies Limited","EQ"," Interim Dividend - Rs 6 Per Share Special Interim Dividend - Rs 10 Per Share","2","29-Apr-2021","01-May-2021","-","-"
"HCLTECH","HCL Technologies Limited","EQ"," Interim Dividend - Rs 4 Per Share","2","21-Jan-2021","23-Jan-2021","-","-"
