"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HDFCBANK","HDFC Bank Limited","EQ","Bonus 1:1","1","26-Aug-2025","27-Aug-2025","-","-"
"HDFCBANK","HDFC Bank Limited","EQ","Special Dividend - Rs 5 Per Share","1","25-Jul-2025","25-Jul-2025","-","-"
"HDFCBANK","HDFC Bank Limited","EQ","Dividend - Rs 22 Per Share","1","27-Jun-2025","27-Jun-2025","-","-"
"HDFCBANK","HDFC Bank Limited","EQ","Dividend - Rs 19.50 Per Share","1","10-May-2024","10-May-2024","-","-"
"HDFCBANK","HDFC Bank Limited","EQ","Dividend - Rs 19 Per Share","1","16-May-2023","16-May-2023","-","-"
"HDFCBANK","HDFC Bank Limited","EQ","Dividend - Rs 15.50 Per Share","1","12-May-2022","13-May-2022","-","-"
"HDFCBANK","HDFC Bank Limited","EQ"," Dividend - Rs 6.50 Per Share","1","29-Jun-2021","30-Jun-2021","-","-"
"HDFCBANK","HDFC Bank Limited","EQ"," Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share","1","19-Sep-2019","20-Sep-2019","-","-"
"HDFCBANK","HDFC Bank Limited","EQ"," Special Dividend - Rs 5 Per Share","1","01-Aug-2019","02-Aug-2019","-","-"
"HDFCBANK","HDFC Bank Limited","EQ"," Dividend Rs 15 Per Sh","1","20-Jun-2019","21-Jun-2019","-","-"
"HDFCBANK","HDFC Bank Limited","EQ"," Dividend- Rs 13 Per Share","1","31-May-2018","01-Jun-2018","-","-"
"HDFCBANK","HDFC Bank Limited","EQ"," Dividend - Rs 11/- Per Share","1","29-Jun-2017","30-Jun-2017","-","-"
"HDFCBANK","HDFC Bank Limited","EQ"," Dividend - Rs 9.50/- Per Share","1","29-Jun-2016","30-Jun-2016","-","-"
"HDFCBANK","HDFC Bank Limited","EQ","Annual General Meeting/ Dividend - Rs 8/- Per Share","1","02-Jul-2015","-","04-Jul-2015","21-Jul-2015"
"HDFCBANK","HDFC Bank Limited","EQ","Annual General Meeting And Dividend - Rs.6.85/- Per Share","1","05-Jun-2014","-","07-Jun-2014","25-Jun-2014"
"HDFCBANK","HDFC Bank Limited","EQ","Annual General Meeting / Final Dividend Rs.5.50/- Per Equity Share","1","13-Jun-2013","-","15-Jun-2013","27-Jun-2013"
"HDFCBANK","HDFC Bank Limited","EQ","Annual General Meeting And Dividend Rs.4.30 Per Share","1","28-Jun-2012","-","01-Jul-2012","13-Jul-2012"
"HDFCBANK","HDFC Bank Limited","EQ","Face Value Split From Rs.10/- To Rs.2/-","1","14-Jul-2011","16-Jul-2011","-","-"
"HDFCBANK","HDFC Bank Limited","EQ","Annual General Meeting And Dividend Rs.16.50 Per Share","1","02-Jun-2011","-","04-Jun-2011","10-Jun-2011"
"HDFCBANK","HDFC Bank Limited","EQ","Agm/Div-Rs.12/- Per Share","1","10-Jun-2010","-","12-Jun-2010","30-Jun-2010"
