"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ","Interim Dividend - Rs 5 Per Share","10","06-Nov-2025","06-Nov-2025","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ","Dividend - Rs 10.50 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ","Dividend - Rs 11 Per Share","10","09-Aug-2024","09-Aug-2024","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ","Bonus 1:2","10","21-Jun-2024","21-Jun-2024","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ","Interim Dividend - Rs 15 Per Share","10","07-Feb-2024","07-Feb-2024","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ","Dividend - Rs 14 Per Share","10","22-Aug-2022","23-Aug-2022","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Dividend - Rs 22.75  Per Share","10","08-Jul-2021","-","12-Jul-2021","16-Jul-2021"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Dividend - Rs 9.75 Per Share","10","02-Jul-2020","-","06-Jul-2020","10-Jul-2020"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Dividend Rs - 9.40 Per Share","10","06-Jun-2019","-","10-Jun-2019","14-Jun-2019"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 6.50 Per Share","10","14-Feb-2019","15-Feb-2019","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Dividend- Rs 2.50 Per Share","10","28-Jun-2018","-","02-Jul-2018","06-Jul-2018"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Interim Dividend - 14.50 Per Share","10","28-Feb-2018","01-Mar-2018","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Bonus 1:2/ Dividend - Rs 1.10 Per Share","10","11-Jul-2017","12-Jul-2017","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Interim Dividend Rs 6.40 Per Share","10","24-Mar-2017","27-Mar-2017","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Interim Dividend Rs 22.50 Per Share","10","01-Mar-2017","02-Mar-2017","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Bonus 2:1","10","14-Sep-2016","15-Sep-2016","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Annual General Meeting/ Dividend -Rs 16/- Per Share","10","28-Jul-2016","-","01-Aug-2016","06-Aug-2016"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 7/- Per Share (Purpose Revised)","10","17-Mar-2016","19-Mar-2016","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Interim Dividend Rs 11.50 Per Share","10","11-Feb-2016","12-Feb-2016","-","-"
"HINDPETRO","Hindustan Petroleum Corporation Limited","EQ"," Annual General Meeting/ Dividend - Rs 24.50/- Per Share","10","02-Sep-2015","-","04-Sep-2015","10-Sep-2015"
