"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ICICIBANK","ICICI Bank Limited","EQ","Dividend - Rs 11 Per Share","2","12-Aug-2025","12-Aug-2025","-","-"
"ICICIBANK","ICICI Bank Limited","EQ","Dividend - Rs 10 Per Share","2","12-Aug-2024","12-Aug-2024","-","-"
"ICICIBANK","ICICI Bank Limited","EQ","Dividend - Rs 8 Per Share","2","09-Aug-2023","09-Aug-2023","-","-"
"ICICIBANK","ICICI Bank Limited","EQ","Dividend - Rs 5 Per Share","2","08-Aug-2022","10-Aug-2022","-","-"
"ICICIBANK","ICICI Bank Limited","EQ"," Dividend - Rs 2 Per Share","2","29-Jul-2021","30-Jul-2021","-","-"
"ICICIBANK","ICICI Bank Limited","EQ"," Annual General Meeting/Dividend - Re 1 Per Share","2","22-Jul-2019","-","24-Jul-2019","09-Aug-2019"
"ICICIBANK","ICICI Bank Limited","EQ"," Dividend- Rs 1.50 Per Share (Date Revised)","2","24-Aug-2018","-","28-Aug-2018","12-Sep-2018"
"ICICIBANK","ICICI Bank Limited","EQ"," Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised)","2","20-Jun-2017","-","22-Jun-2017","24-Jun-2017"
"ICICIBANK","ICICI Bank Limited","EQ"," Annual General Meeting/ Dividend - Rs 5/- Per Share ","2","16-Jun-2016","-","18-Jun-2016","11-Jul-2016"
"ICICIBANK","ICICI Bank Limited","EQ","Annual General Meeting/ Dividend - Rs 5/- Per Share","2","04-Jun-2015","-","06-Jun-2015","29-Jun-2015"
"ICICIBANK","ICICI Bank Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share","2","04-Dec-2014","05-Dec-2014","-","-"
"ICICIBANK","ICICI Bank Limited","EQ","Annual General Meeting/Dividend Rs.23/- Per Share","2","05-Jun-2014","-","07-Jun-2014","30-Jun-2014"
"ICICIBANK","ICICI Bank Limited","EQ","Annual General Meeting/Dividend Rs.20/- Per Share","2","30-May-2013","-","01-Jun-2013","24-Jun-2013"
"ICICIBANK","ICICI Bank Limited","EQ","Annual General Meeting And Dividend Rs.16.50 Per Share","2","31-May-2012","-","02-Jun-2012","25-Jun-2012"
"ICICIBANK","ICICI Bank Limited","EQ","Annual General Meeting And Dividend Rs.14/- Per Share","2","02-Jun-2011","-","04-Jun-2011","27-Jun-2011"
"ICICIBANK","ICICI Bank Limited","EQ","Annual General Meeting And Dividend Rs.12/- Per Share","2","10-Jun-2010","-","12-Jun-2010","28-Jun-2010"
"ICICIBANK","ICICI Bank Limited","EQ","Agm/Div-Rs.11/- Per Share","2","11-Jun-2009","-","15-Jun-2009","29-Jun-2009"
"ICICIBANK","ICICI Bank Limited","EQ","Agm/Dividend - 110%","2","10-Jul-2008","-","12-Jul-2008","26-Jul-2008"
"ICICIBANK","ICICI Bank Limited","EQ","Agm/Dividend -100%","2","14-Jun-2007","-","16-Jun-2007","14-Jul-2007"
"ICICIBANK","ICICI Bank Limited","EQ","Agm/Div-Rs.8.50/- Per Sh","2","06-Jul-2006","-","08-Jul-2006","22-Jul-2006"
