"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Interim Dividend - Rs 6.50 Per Share","10","23-Oct-2025","23-Oct-2025","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Dividend - Rs 7 Per Share","10","06-Jun-2025","06-Jun-2025","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Interim Dividend - Rs 5.50 Per Share","10","28-Oct-2024","28-Oct-2024","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Dividend - Rs 6 Per Share","10","07-Jun-2024","07-Jun-2024","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Interim Dividend - Rs 5 Per Share","10","27-Oct-2023","27-Oct-2023","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Dividend - Rs 5.50 Per Share","10","12-Jun-2023","12-Jun-2023","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Interim Dividend - Rs 4.50 Per Share","10","27-Oct-2022","28-Oct-2022","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ","Dividend - Rs 5 Per Share","10","28-Jul-2022","29-Jul-2022","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Interim Dividend - Rs 4 Per Sh","10","29-Oct-2021","01-Nov-2021","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Annual General Meeting/Dividend - Rs 4 Per Share","10","02-Aug-2021","03-Aug-2021","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Interim Dividend - Rs 4 Per Share","10","18-Mar-2021","19-Mar-2021","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Interim Dividend - Rs 3.50 Per Sh","10","31-Oct-2019","01-Nov-2019","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Annual General Meeting/ Dividend - Rs 3.50 Per Share","10","19-Jun-2019","-","21-Jun-2019","27-Jun-2019"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Interim Dividend - Rs 2.50 Per Share","10","29-Oct-2018","30-Oct-2018","-","-"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Annual General Meeting/Dividend- Rs 2.50 Per Share","10","04-Jul-2018","-","06-Jul-2018","12-Jul-2018"
"ICICIGI","ICICI Lombard General Insurance Company Limited","EQ"," Interim Dividend - Re 0.75 Per Share","10","26-Oct-2017","27-Oct-2017","-","-"
