"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ","Dividend - Re 0.85 Per Share","10","12-Jun-2025","12-Jun-2025","-","-"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ","Dividend - Re 0.60 Per Share","10","13-Jun-2024","-","14-Jun-2024","28-Jun-2024"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ","Dividend - Re 0.60 Per Share","10","13-Jul-2023","-","14-Jul-2023","28-Jul-2023"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ","Dividend - Rs 0.55 Per Share","10","16-Jun-2022","-","20-Jun-2022","27-Jun-2022"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Dividend - Rs 2 Per Share","10","16-Jun-2021","-","18-Jun-2021","25-Jun-2021"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Interim Dividend - Re 0.80 Per Sh","10","31-Oct-2019","01-Nov-2019","-","-"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Annual General Meeting/Dividend - Rs 1.55 Per Share","10","09-Jul-2019","-","11-Jul-2019","17-Jul-2019"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Interim Dividend - Rs 1.6 Per Share","10","01-Nov-2018","02-Nov-2018","-","-"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Annual General Meeting / Final Dividend- Rs 2.20 Per Share / Special Dividend- Rs 1.10 Per Share","10","18-Jun-2018","-","20-Jun-2018","26-Jun-2018"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Interim Dividend - Rs 2.30 Per Share/ Special Dividend Rs 1.10 Per Share (Purpose Revised)","10","02-Nov-2017","03-Nov-2017","-","-"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Annual General Meeting/Dividend - Rs 2.30/- Per Share/Special Dividend Rs 1.20/- Per Share","10","07-Jul-2017","-","11-Jul-2017","17-Jul-2017"
"ICICIPRULI","ICICI Prudential Life Insurance Company Limited","EQ"," Interim Dividend Rs 1.75 Per Share (Purpose Revised)","10","02-Nov-2016","03-Nov-2016","-","-"
