"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"INDUSINDBK","IndusInd Bank Limited","EQ","Dividend - Rs 16.50 Per Share","10","28-Jun-2024","28-Jun-2024","-","-"
"INDUSINDBK","IndusInd Bank Limited","EQ","Dividend - Rs 14 Per Share","10","02-Jun-2023","02-Jun-2023","-","-"
"INDUSINDBK","IndusInd Bank Limited","EQ","Annual General Meeting/Dividend - Rs 8.50 Per Share","10","11-Aug-2022","12-Aug-2022","-","-"
"INDUSINDBK","IndusInd Bank Limited","EQ"," Dividend - Rs 5 Per Share","10","17-Aug-2021","19-Aug-2021","-","-"
"INDUSINDBK","IndusInd Bank Limited","EQ"," Annual General Meeting/Dividend - Rs 7.50 Per Share","10","08-Aug-2019","-","10-Aug-2019","16-Aug-2019"
"INDUSINDBK","IndusInd Bank Limited","EQ"," Annual General Meeting / Dividend- Rs 7.50 Per Share (Date Revised)","10","18-Jul-2018","-","20-Jul-2018","26-Jul-2018"
"INDUSINDBK","IndusInd Bank Limited","EQ"," Annual General Meeting/Dividend - Rs 6/- Per Share","10","18-Jul-2017","-","20-Jul-2017","26-Jul-2017"
"INDUSINDBK","IndusInd Bank Limited","EQ"," Annual General Meeting/ Dividend -Rs 4.50/- Per Share","10","23-Jun-2016","-","25-Jun-2016","01-Jul-2016"
"INDUSINDBK","IndusInd Bank Limited","EQ","Annual General Meeting And Dividend Rs.4/- Per Share","10","07-Aug-2015","-","11-Aug-2015","17-Aug-2015"
"INDUSINDBK","IndusInd Bank Limited","EQ","Annual General Meeting / Dividend - Rs 3.50/- Per Share","10","16-Jun-2014","-","18-Jun-2014","27-Jun-2014"
"INDUSINDBK","IndusInd Bank Limited","EQ","Annual General Meeting / Dividend Rs.3/- Per Equity Share","10","17-Jun-2013","-","19-Jun-2013","28-Jun-2013"
"INDUSINDBK","IndusInd Bank Limited","EQ","Annual General Meeting/Dividend Rs 2.20 Per Share","10","05-Jul-2012","-","07-Jul-2012","17-Jul-2012"
"INDUSINDBK","IndusInd Bank Limited","EQ","Annual General Meeting And Dividend Rs.2/- Per Share","10","30-Jun-2011","-","05-Jul-2011","15-Jul-2011"
"INDUSINDBK","IndusInd Bank Limited","EQ","Annual General Meeting And Dividend Rs.1.80 Per Share","10","17-Jun-2010","-","19-Jun-2010","28-Jun-2010"
"INDUSINDBK","IndusInd Bank Limited","EQ","Agm/Div-Rs.1.20 Per Share","10","22-Jun-2009","-","24-Jun-2009","03-Jul-2009"
"INDUSINDBK","IndusInd Bank Limited","EQ","Agm/Dividend - 6%        Bc Dates Revised","10","04-Sep-2008","-","08-Sep-2008","22-Sep-2008"
"INDUSINDBK","IndusInd Bank Limited","EQ","Agm/Dividend-6%          Purpose Revised","10","31-Aug-2007","-","04-Sep-2007","18-Sep-2007"
"INDUSINDBK","IndusInd Bank Limited","EQ","Agm","10","14-Sep-2006","-","18-Sep-2006","28-Sep-2006"
"INDUSINDBK","IndusInd Bank Limited","EQ","Agm/Dividend-18%","10","18-Aug-2005","-","20-Aug-2005","03-Sep-2005"
