"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"IOC","Indian Oil Corporation Limited","EQ","Dividend - Rs 3 Per Share","10","08-Aug-2025","08-Aug-2025","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Dividend - Rs 7 Per Share","10","12-Jul-2024","12-Jul-2024","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Interim Dividend - Rs 5 Per Share","10","10-Nov-2023","10-Nov-2023","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Dividend - Rs 3 Per Share","10","28-Jul-2023","28-Jul-2023","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Dividend - Rs 2.40 Per Share","10","11-Aug-2022","12-Aug-2022","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Bonus 1:2","10","30-Jun-2022","01-Jul-2022","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Interim Dividend - Rs  4 Per Share","10","09-Feb-2022","10-Feb-2022","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","11-Nov-2021","12-Nov-2021","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Dividend - Rs 1.50 Per Share","10","05-Aug-2021","06-Aug-2021","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","23-Mar-2021","24-Mar-2021","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend - Rs 7.50  Per Share","10","09-Feb-2021","10-Feb-2021","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend - Rs 4.25 Per Share","10","23-Mar-2020","25-Mar-2020","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Annual General Meeting/Dividend - Re 1 Per Share","10","21-Aug-2019","-","23-Aug-2019","28-Aug-2019"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","10","27-Mar-2019","28-Mar-2019","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend - Rs 6.75 Per Share","10","21-Dec-2018","25-Dec-2018","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Buyback","10","21-Dec-2018","25-Dec-2018","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Dividend Rs 2 Per Share","10","20-Aug-2018","-","23-Aug-2018","29-Aug-2018"
"IOC","Indian Oil Corporation Limited","EQ"," Bonus 1:1","10","15-Mar-2018","17-Mar-2018","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Interim Dividend Rs 19/- Per Share","10","08-Feb-2018","09-Feb-2018","-","-"
"IOC","Indian Oil Corporation Limited","EQ"," Annual General Meeting/Dividend - Re 1/- Per Share","10","18-Aug-2017","-","22-Aug-2017","29-Aug-2017"
