"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"JSWSTEEL","JSW Steel Limited","EQ","Dividend - Rs 2.80 Per Share","1","08-Jul-2025","08-Jul-2025","-","-"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting/Dividend - Rs 7.30 Per Share","1","09-Jul-2024","-","10-Jul-2024","12-Jul-2024"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting/Dividend - Rs 3.40 Per Share","1","11-Jul-2023","-","12-Jul-2023","14-Jul-2023"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting/Dividend - Rs 17.35 Per Share","1","04-Jul-2022","-","06-Jul-2022","08-Jul-2022"
"JSWSTEEL","JSW Steel Limited","EQ"," Annual General Meeting/Dividend - Rs 6.50 Per Share","1","05-Jul-2021","-","07-Jul-2021","09-Jul-2021"
"JSWSTEEL","JSW Steel Limited","EQ"," Dividend - Rs 2 Per Share","1","06-Jul-2020","-","08-Jul-2020","10-Jul-2020"
"JSWSTEEL","JSW Steel Limited","EQ"," Annual General Meeting/Dividend Rs 4.10 Per Share","1","08-Jul-2019","-","10-Jul-2019","12-Jul-2019"
"JSWSTEEL","JSW Steel Limited","EQ"," Annual General Meeting / Dividend- Rs 3.20 Per Share","1","06-Jul-2018","-","10-Jul-2018","12-Jul-2018"
"JSWSTEEL","JSW Steel Limited","EQ"," Annual General Meeting/Dividend - Rs 2.25/- Per Share","1","12-Jun-2017","-","14-Jun-2017","16-Jun-2017"
"JSWSTEEL","JSW Steel Limited","EQ"," Fv Splt Frm Rs 10 To Re 1","1","04-Jan-2017","05-Jan-2017","-","-"
"JSWSTEEL","JSW Steel Limited","EQ"," Annual General Meeting/ Dividend - Rs 7.50/- Per Share","1","04-Jul-2016","-","06-Jul-2016","08-Jul-2016"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting/ Dividend - Rs 11/- Per Share","1","06-Jul-2015","-","08-Jul-2015","10-Jul-2015"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting / Dividend - Rs 11/- Per Share","1","07-Jul-2014","-","09-Jul-2014","11-Jul-2014"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting / Dividend - Rs.10/- Per Equity Share","1","15-Jul-2013","-","17-Jul-2013","19-Jul-2013"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting / Dividend - Rs. 7.50 Per Share","1","12-Jul-2012","-","14-Jul-2012","16-Jul-2012"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting And Dividend Rs.12.25 Per Share","1","11-Jul-2011","-","13-Jul-2011","15-Jul-2011"
"JSWSTEEL","JSW Steel Limited","EQ","Agm/Dividend Rs 9.50 Per Share","1","14-Jun-2010","-","16-Jun-2010","18-Jun-2010"
"JSWSTEEL","JSW Steel Limited","EQ","Agm/Div-Re.1/- Per Share","1","29-Jun-2009","-","01-Jul-2009","03-Jul-2009"
"JSWSTEEL","JSW Steel Limited","EQ","Agm/Dividend - 140%","1","21-May-2008","-","23-May-2008","27-May-2008"
"JSWSTEEL","JSW Steel Limited","EQ","Annual General Meeting","1","16-May-2007","-","18-May-2007","22-May-2007"
