"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Dividend - Rs 2.50 Per Share","5","18-Jul-2025","18-Jul-2025","-","-"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Dividend - Rs 2 Per Share","5","19-Jul-2024","19-Jul-2024","-","-"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Dividend - Rs 1.50 Per Sh","5","04-Aug-2023","04-Aug-2023","-","-"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Dividend - Rs 1.10 Per Share","5","11-Aug-2022","12-Aug-2022","-","-"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ"," Dividend - Rs 0.90 Per Share","5","11-Aug-2021","12-Aug-2021","-","-"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ"," Annual General Meeting/Dividend Rs 0.80 Per Share","5","12-Jul-2019","-","16-Jul-2019","22-Jul-2019"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ"," Annual General Meeting/Dividend- Re 0.70 Per Share","5","11-Jul-2018","-","13-Jul-2018","19-Jul-2018"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ"," Annual General Meeting/Dividend-Re 0.60 Per Share","5","12-Jul-2017","-","14-Jul-2017","20-Jul-2017"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ"," Annual General Meeting/ Divdend - Re 0.50/- Per Share","5","14-Jul-2016","-","16-Jul-2016","22-Jul-2016"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Bonus 1: 1","5","08-Jul-2015","09-Jul-2015","-","-"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Annual General Meeting/Dividend Re 0.90/- Per Share","5","18-Jun-2015","-","22-Jun-2015","29-Jun-2015"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Annual General Meeting/Dividend Re 0.80/- Per Share","5","04-Jul-2014","-","08-Jul-2014","16-Jul-2014"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Annual General Meeting/Dividend Re 0.70/- Per Share","5","04-Jul-2013","-","08-Jul-2013","18-Jul-2013"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Annual General Meeting / Dividend Re 0.60 Per Share","5","06-Jul-2012","-","10-Jul-2012","19-Jul-2012"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Annual General Meeting And Dividend Re.0.50 Per Share","5","12-Jul-2011","-","14-Jul-2011","21-Jul-2011"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Face Value Split From Rs.10/- To Rs.5/-","5","13-Sep-2010","14-Sep-2010","-","-"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Annual General Meeting And Dividend Re.0.85 Per Share","5","30-Jun-2010","-","05-Jul-2010","07-Jul-2010"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Agm/Div-Re.0.75 Per Share","5","14-Jul-2009","-","16-Jul-2009","28-Jul-2009"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Agm/Dividend - 7.50%","5","14-Jul-2008","-","16-Jul-2008","28-Jul-2008"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","Agm/Dividend-7%","5","22-Jun-2007","-","26-Jun-2007","05-Jul-2007"
