"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"LT","Larsen & Toubro Limited","EQ","Dividend - Rs 34 Per Share","2","03-Jun-2025","03-Jun-2025","-","-"
"LT","Larsen & Toubro Limited","EQ","Dividend - Rs 28 Per Share","2","20-Jun-2024","20-Jun-2024","-","-"
"LT","Larsen & Toubro Limited","EQ","Buy Back","2","12-Sep-2023","12-Sep-2023","-","-"
"LT","Larsen & Toubro Limited","EQ","Dividend - Rs 24 Per Share","2","02-Aug-2023","02-Aug-2023","-","-"
"LT","Larsen & Toubro Limited","EQ","Special Dividend - Rs 6 Per Share","2","02-Aug-2023","02-Aug-2023","-","-"
"LT","Larsen & Toubro Limited","EQ","Dividend - Rs 22 Per Share","2","21-Jul-2022","22-Jul-2022","-","-"
"LT","Larsen & Toubro Limited","EQ"," Annual General Meeting/Dividend - Rs 18 Per Share","2","28-Jul-2021","-","30-Jul-2021","05-Aug-2021"
"LT","Larsen & Toubro Limited","EQ"," Special Dividend - Rs 18 Per Share","2","04-Nov-2020","05-Nov-2020","-","-"
"LT","Larsen & Toubro Limited","EQ"," Annual General Meeting/Dividend - Rs  8 Per Share","2","05-Aug-2020","-","07-Aug-2020","13-Aug-2020"
"LT","Larsen & Toubro Limited","EQ"," Interim Dividend - Rs 10 Per Share","2","24-Mar-2020","26-Mar-2020","-","-"
"LT","Larsen & Toubro Limited","EQ"," Annual General Meeting/Dividend - Rs 18 Per Share","2","24-Jul-2019","-","26-Jul-2019","01-Aug-2019"
"LT","Larsen & Toubro Limited","EQ"," Buyback","2","12-Oct-2018","15-Oct-2018","-","-"
"LT","Larsen & Toubro Limited","EQ"," Annual General Meeting/Dividend- Rs 16 Per Share","2","14-Aug-2018","-","17-Aug-2018","23-Aug-2018"
"LT","Larsen & Toubro Limited","EQ"," Annual General Meeting/Dividend - Rs 14/- Per Share","2","11-Aug-2017","-","16-Aug-2017","22-Aug-2017"
"LT","Larsen & Toubro Limited","EQ"," Bonus 1:2","2","13-Jul-2017","14-Jul-2017","-","-"
"LT","Larsen & Toubro Limited","EQ"," Dividend - Rs 18.25/- Per Share","2","18-Aug-2016","-","20-Aug-2016","26-Aug-2016"
"LT","Larsen & Toubro Limited","EQ"," Annual General Meeting/ Dividend - Rs 16.25/- Per Share","2","01-Sep-2015","-","03-Sep-2015","09-Sep-2015"
"LT","Larsen & Toubro Limited","EQ","Annual General Meeting / Dividend - Rs 14.25/- Per Share","2","13-Aug-2014","-","16-Aug-2014","22-Aug-2014"
"LT","Larsen & Toubro Limited","EQ","Annual General Meeting / Dividend - Rs 12.33/- Per Share","2","13-Aug-2013","-","16-Aug-2013","22-Aug-2013"
"LT","Larsen & Toubro Limited","EQ","Bonus 1:2","2","11-Jul-2013","13-Jul-2013","-","-"
