"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"LTIM","LTIMindtree Limited","EQ","Interim Dividend - Rs 22 Per Share","1","24-Oct-2025","24-Oct-2025","-","-"
"LTIM","LTIMindtree Limited","EQ","Dividend - Rs 45 Per Share","1","23-May-2025","23-May-2025","-","-"
"LTIM","LTIMindtree Limited","EQ","Interim Dividend - Rs 20  Per Share","1","25-Oct-2024","25-Oct-2024","-","-"
"LTIM","LTIMindtree Limited","EQ","Dividend - Rs 45 Per Share","1","19-Jun-2024","19-Jun-2024","-","-"
"LTIM","LTIMindtree Limited","EQ","Interim Dividend - Rs 20 Per Share","1","27-Oct-2023","27-Oct-2023","-","-"
"LTIM","LTIMindtree Limited","EQ","Dividend - Rs 40 Per Share","1","10-Jul-2023","10-Jul-2023","-","-"
"LTIM","LTIMindtree Limited","EQ","Interim Dividend - Rs 20 Per Share","1","31-Jan-2023","31-Jan-2023","-","-"
"LTIM","LTIMindtree Limited","EQ","Dividend- Rs 30 Per Share","1","30-Jun-2022","01-Jul-2022","-","-"
"LTIM","LTIMindtree Limited","EQ"," Interim Dividend - Rs 15 Per Share","1","25-Oct-2021","26-Oct-2021","-","-"
"LTIM","LTIMindtree Limited","EQ"," Special Dividend - Rs 10 Per Share","1","30-Jul-2021","02-Aug-2021","-","-"
"LTIM","LTIMindtree Limited","EQ"," Dividend - Rs 25 Per Share","1","01-Jul-2021","02-Jul-2021","-","-"
"LTIM","LTIMindtree Limited","EQ"," Interim Dividend -Rs 15 Per Share","1","27-Oct-2020","28-Oct-2020","-","-"
"LTIM","LTIMindtree Limited","EQ"," Annual General Meeting/Dividend - Rs 15.50 Per Share","1","09-Jul-2020","11-Jul-2020","-","-"
"LTIM","LTIMindtree Limited","EQ"," Interim Dividend - Rs 12.50 Per Share","1","24-Oct-2019","26-Oct-2019","-","-"
"LTIM","LTIMindtree Limited","EQ"," Dividend - Rs 15.50 Per Share","1","11-Jul-2019","-","15-Jul-2019","20-Jul-2019"
"LTIM","LTIMindtree Limited","EQ"," Interim Dividend - Rs 12.50 Per Share","1","31-Oct-2018","01-Nov-2018","-","-"
"LTIM","LTIMindtree Limited","EQ"," Annual General Meeting/Dividend Rs 13.50 Per Share","1","14-Aug-2018","-","18-Aug-2018","22-Aug-2018"
"LTIM","LTIMindtree Limited","EQ"," Interim Dividend - Rs 8/- Per Share (Purpose Revised)","1","13-Nov-2017","14-Nov-2017","-","-"
"LTIM","LTIMindtree Limited","EQ"," Annual General Meeting/Dividend - Rs 9.70 Per Share","1","14-Aug-2017","-","18-Aug-2017","24-Aug-2017"
"LTIM","LTIMindtree Limited","EQ"," Interim Dividend Rs 6.85 Per Share (Purpose Revised)","1","17-Nov-2016","18-Nov-2016","-","-"
