"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"MARUTI","Maruti Suzuki India Limited","EQ","Dividend - Rs 135 Per Share","5","01-Aug-2025","01-Aug-2025","-","-"
"MARUTI","Maruti Suzuki India Limited","EQ","Dividend - Rs 125 Per Share","5","02-Aug-2024","-","03-Aug-2024","27-Aug-2024"
"MARUTI","Maruti Suzuki India Limited","EQ","Dividend - Rs 90 Per Share","5","03-Aug-2023","-","04-Aug-2023","29-Aug-2023"
"MARUTI","Maruti Suzuki India Limited","EQ","Dividend - Rs 60 Per Share","5","03-Aug-2022","-","05-Aug-2022","31-Aug-2022"
"MARUTI","Maruti Suzuki India Limited","EQ"," Dividend - Rs 45 Per Share","5","05-Aug-2021","-","07-Aug-2021","24-Aug-2021"
"MARUTI","Maruti Suzuki India Limited","EQ"," Dividend - Rs 60 Per Share","5","13-Aug-2020","-","15-Aug-2020","26-Aug-2020"
"MARUTI","Maruti Suzuki India Limited","EQ"," Dividend - Rs 80 Per Share","5","14-Aug-2019","-","17-Aug-2019","27-Aug-2019"
"MARUTI","Maruti Suzuki India Limited","EQ"," Dividend Rs 80/- Per Share","5","14-Aug-2018","-","17-Aug-2018","23-Aug-2018"
"MARUTI","Maruti Suzuki India Limited","EQ"," Dividend - Rs 75/- Per Share","5","24-Aug-2017","-","29-Aug-2017","05-Sep-2017"
"MARUTI","Maruti Suzuki India Limited","EQ"," Final Dividend - Rs 35/- Per Share","5","31-Aug-2016","-","02-Sep-2016","08-Sep-2016"
"MARUTI","Maruti Suzuki India Limited","EQ","Annual General Meeting / Dividend - Rs 25/- Per Share","5","26-Aug-2015","-","28-Aug-2015","04-Sep-2015"
"MARUTI","Maruti Suzuki India Limited","EQ","Annual General Meeting / Dividend - Rs 12/- Per Share","5","27-Aug-2014","-","01-Sep-2014","04-Sep-2014"
"MARUTI","Maruti Suzuki India Limited","EQ","E-Voting","5","31-Jul-2014","01-Aug-2014","-","-"
"MARUTI","Maruti Suzuki India Limited","EQ","Annual General Meeting / Final Dividend Rs.8/- Per Equity Share","5","13-Aug-2013","-","16-Aug-2013","27-Aug-2013"
"MARUTI","Maruti Suzuki India Limited","EQ","Annual General Meeting/ Dividend Rs.7.50 Per Share","5","14-Aug-2012","-","17-Aug-2012","28-Aug-2012"
"MARUTI","Maruti Suzuki India Limited","EQ","Dividend-Rs.7.50 Per Share","5","24-Aug-2011","-","26-Aug-2011","08-Sep-2011"
"MARUTI","Maruti Suzuki India Limited","EQ","Annual General Meeting And Final Dividend Rs.6/- Per Share","5","24-Aug-2010","-","26-Aug-2010","07-Sep-2010"
"MARUTI","Maruti Suzuki India Limited","EQ","Agm/Div-Rs.3.50 Per Share","5","18-Aug-2009","-","21-Aug-2009","02-Sep-2009"
"MARUTI","Maruti Suzuki India Limited","EQ","Agm/Dividend - 100%","5","14-Aug-2008","-","20-Aug-2008","02-Sep-2008"
"MARUTI","Maruti Suzuki India Limited","EQ","Agm/Fin Div-Rs4.50 Per Sh","5","22-Aug-2007","-","24-Aug-2007","06-Sep-2007"
