"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 2.75 Per Share","10","07-Nov-2025","07-Nov-2025","-","-"
"NTPC","NTPC Limited","EQ","Dividend - Rs 3.35 Per Share","10","04-Sep-2025","04-Sep-2025","-","-"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 2.50 Per Share","10","31-Jan-2025","31-Jan-2025","-","-"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 2.50 Per Share","10","31-Oct-2024","02-Nov-2024","-","-"
"NTPC","NTPC Limited","EQ","Dividend - Rs 3.25 Per Share","10","07-Aug-2024","07-Aug-2024","-","-"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 2.25 Per Share","10","06-Feb-2024","06-Feb-2024","-","-"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 2.25 Per Share","10","03-Nov-2023","04-Nov-2023","-","-"
"NTPC","NTPC Limited","EQ","Dividend - Rs 3 Per Share","10","11-Aug-2023","11-Aug-2023","-","-"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 4.25 Per Share","10","03-Feb-2023","04-Feb-2023","-","-"
"NTPC","NTPC Limited","EQ","Dividend - Rs 3 Per Share","10","10-Aug-2022","11-Aug-2022","-","-"
"NTPC","NTPC Limited","EQ","Interim Dividend - Rs 4 Per Share","10","03-Feb-2022","05-Feb-2022","-","-"
"NTPC","NTPC Limited","EQ"," Annual General Meeting","10","20-Sep-2021","-","22-Sep-2021","28-Sep-2021"
"NTPC","NTPC Limited","EQ"," Dividend - Rs 3.15 Per Share","10","08-Sep-2021","10-Sep-2021","-","-"
"NTPC","NTPC Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","11-Feb-2021","12-Feb-2021","-","-"
"NTPC","NTPC Limited","EQ"," Buy-Back","10","12-Nov-2020","13-Nov-2020","-","-"
"NTPC","NTPC Limited","EQ"," Annual General Meeting","10","16-Sep-2020","-","18-Sep-2020","24-Sep-2020"
"NTPC","NTPC Limited","EQ"," Dividend - Rs 2.65  Per Share","10","13-Aug-2020","14-Aug-2020","-","-"
"NTPC","NTPC Limited","EQ"," Interim Dividend - Rs 0.50 Per Hsare","10","26-Mar-2020","27-Mar-2020","-","-"
"NTPC","NTPC Limited","EQ"," Dividend - Rs 2.50 Per Share","10","13-Aug-2019","-","15-Aug-2019","21-Aug-2019"
"NTPC","NTPC Limited","EQ"," Bonus 1:5","10","19-Mar-2019","20-Mar-2019","-","-"
