"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 6 Per Share","5","14-Nov-2025","14-Nov-2025","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Dividend - Rs 1.25 Per Share","5","04-Sep-2025","04-Sep-2025","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 5 Per Share","5","07-Feb-2025","07-Feb-2025","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 6 Per Share","5","19-Nov-2024","20-Nov-2024","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Dividend - Rs 2.50 Per Share","5","23-Aug-2024","23-Aug-2024","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 4 Per Share","5","16-Feb-2024","17-Feb-2024","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 5.75 Per Share","5","21-Nov-2023","21-Nov-2023","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Dividend - Re 0.50 Per Share","5","18-Aug-2023","18-Aug-2023","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 4 Per Share","5","24-Feb-2023","24-Feb-2023","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 6.75 Per Share","5","21-Nov-2022","22-Nov-2022","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Dividend - Rs 3.25 Per Share","5","18-Aug-2022","19-Aug-2022","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 1.75 Per Share","5","21-Feb-2022","22-Feb-2022","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Interim Dividend - Rs 5.50 Per Share","5","22-Nov-2021","23-Nov-2021","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Dividend - Rs 1.85 Per Share","5","08-Sep-2021","10-Sep-2021","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Interim Dividend - Rs 1.75 Per Share","5","17-Feb-2021","20-Feb-2021","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Interim Dividend - Rs 5 Per Share","5","23-Mar-2020","24-Mar-2020","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Annual General Meeting/Dividend - Rs 0.75 Per Share","5","22-Aug-2019","23-Aug-2019","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Interim Dividend - Re 1 Per Sh","5","26-Mar-2019","27-Mar-2019","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Interim Dividend - Rs 5.25 Per Sh","5","28-Feb-2019","01-Mar-2019","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Buy Back","5","03-Jan-2019","04-Jan-2019","-","-"
