"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"RELIANCE","Reliance Industries Limited","EQ","Dividend - Rs 5.5 Per Share","10","14-Aug-2025","14-Aug-2025","-","-"
"RELIANCE","Reliance Industries Limited","EQ","Bonus 1:1","10","28-Oct-2024","28-Oct-2024","-","-"
"RELIANCE","Reliance Industries Limited","EQ","Dividend - Rs 10 Per Share","10","19-Aug-2024","19-Aug-2024","-","-"
"RELIANCE","Reliance Industries Limited","EQ","Dividend - Rs 9 Per Share","10","21-Aug-2023","21-Aug-2023","-","-"
"RELIANCE","Reliance Industries Limited","EQ","Demerger","10","20-Jul-2023","20-Jul-2023","-","-"
"RELIANCE","Reliance Industries Limited","EQ","Dividend - Rs 8 Per Share","10","18-Aug-2022","19-Aug-2022","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Dividend - Rs 7 Per Share","10","11-Jun-2021","14-Jun-2021","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Dividend - Rs 6.50  Per Share","10","02-Jul-2020","03-Jul-2020","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Rights 1:15 @ Premium Rs 1247","10","13-May-2020","14-May-2020","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 6.50 Per Share","10","02-Aug-2019","05-Aug-2019","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Dividend- Rs 6 Per Share","10","27-Jun-2018","28-Jun-2018","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Bonus 1:1","10","07-Sep-2017","09-Sep-2017","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Dividend -  Rs 11/- Per Share","10","13-Jul-2017","14-Jul-2017","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Interim Dividend - Rs 10.50/- Per Share (Purpose Revised)","10","17-Mar-2016","18-Mar-2016","-","-"
"RELIANCE","Reliance Industries Limited","EQ","Dividend - Rs 10/- Per Share","10","08-May-2015","-","12-May-2015","15-May-2015"
"RELIANCE","Reliance Industries Limited","EQ","Dividend Rs. 9.50 Per Equity Share","10","16-May-2014","-","20-May-2014","23-May-2014"
"RELIANCE","Reliance Industries Limited","EQ","Annual General Meeting/ Dividend Rs. 9 Per Equity Share","10","10-May-2013","-","14-May-2013","18-May-2013"
"RELIANCE","Reliance Industries Limited","EQ","Annual General Meeting And Dividend Rs.8.50 Per Share","10","31-May-2012","-","02-Jun-2012","07-Jun-2012"
"RELIANCE","Reliance Industries Limited","EQ","Dividend-Rs.8/- Per Share","10","05-May-2011","-","09-May-2011","14-May-2011"
"RELIANCE","Reliance Industries Limited","EQ","Dividend Rs 7 Per Share","10","10-May-2010","-","12-May-2010","19-May-2010"
