"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SBIN","State Bank of India","EQ","Dividend - Rs 15.90 Per Share","1","16-May-2025","16-May-2025","-","-"
"SBIN","State Bank of India","EQ","Dividend - Rs 13.70 Per Share","1","22-May-2024","22-May-2024","-","-"
"SBIN","State Bank of India","EQ","Dividend - Rs 11.30 Per Share","1","31-May-2023","-","01-Jun-2023","05-Jun-2023"
"SBIN","State Bank of India","EQ","Dividend - Rs 7.10 Per Share","1","25-May-2022","-","27-May-2022","31-May-2022"
"SBIN","State Bank of India","EQ"," Dividend - Rs 4 Per Share","1","03-Jun-2021","04-Jun-2021","-","-"
"SBIN","State Bank of India","EQ"," Annual General Meeting/ Change In Registrar And Transfer Agent","1","15-Jun-2018","-","19-Jun-2018","28-Jun-2018"
"SBIN","State Bank of India","EQ"," Dividend - Rs 2.60 Per Share (Purpose Revised)","1","26-May-2017","-","30-May-2017","03-Jun-2017"
"SBIN","State Bank of India","EQ"," Dividend - Rs 2.60/- Per Share","1","03-Jun-2016","-","07-Jun-2016","11-Jun-2016"
"SBIN","State Bank of India","EQ","Dividend - Rs 3.50/- Per Share (Purpose Revised)","1","28-May-2015","-","30-May-2015","03-Jun-2015"
"SBIN","State Bank of India","EQ","Face Value Split Rs.10/- To Re.1/- Per Share","1","20-Nov-2014","21-Nov-2014","-","-"
"SBIN","State Bank of India","EQ","Annual General Meeting And Dividend Rs 15 Per Share (Purpose Revised)","1","29-May-2014","-","31-May-2014","04-Jun-2014"
"SBIN","State Bank of India","EQ","Interim Dividend Rs 15 Per Share","1","11-Mar-2014","-","13-Mar-2014","17-Mar-2014"
"SBIN","State Bank of India","EQ","Dividend Rs 41.50 Per Share (Purpose Revised)","1","28-May-2013","-","30-May-2013","03-Jun-2013"
"SBIN","State Bank of India","EQ","Annual General Meeting And Dividend Rs 35 Per Share (Purpose Revised)","1","24-May-2012","-","26-May-2012","31-May-2012"
"SBIN","State Bank of India","EQ","Dividend-Rs.30/- Per Share (Purpose Revised)","1","20-May-2011","-","24-May-2011","28-May-2011"
"SBIN","State Bank of India","EQ","Final Dividend-Rs.20/- Per Share (Purpose Revised)","1","09-Jun-2010","-","11-Jun-2010","16-Jun-2010"
"SBIN","State Bank of India","EQ","Int Div-Rs.10/- Per Share","1","05-Feb-2010","-","09-Feb-2010","13-Feb-2010"
"SBIN","State Bank of India","EQ","Dividend-Rs.29/ Per Share","1","10-Jun-2009","-","12-Jun-2009","19-Jun-2009"
"SBIN","State Bank of India","EQ","Div-Rs.21.50 Per Share","1","29-May-2008","-","02-Jun-2008","11-Jun-2008"
"SBIN","State Bank of India","EQ","Rights-Eq 1:5@Prem Rs1580","1","28-Jan-2008","04-Feb-2008","-","-"
