"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Interim Dividend - Rs 80 Per Share","10","03-Nov-2025","03-Nov-2025","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Dividend - Rs 60 Per Share","10","21-Jul-2025","21-Jul-2025","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Interim Dividend - Rs 50 Per Share","10","05-Feb-2025","05-Feb-2025","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Dividend - Rs 55 Per Share","10","23-Jul-2024","23-Jul-2024","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Interim Dividend - Rs 50 Per Share","10","08-Feb-2024","08-Feb-2024","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Interim Dividend - Rs 55 Per Share","10","01-Jun-2023","01-Jun-2023","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Interim Dividend - Rs   45 Per Share","10","16-Feb-2023","16-Feb-2023","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Dividend - Rs 45 Per Share","10","13-Jul-2022","14-Jul-2022","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ","Interim Dividend - Rs 45 Per Share","10","10-Feb-2022","12-Feb-2022","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Dividend - Rs 60 Per Share","10","22-Jul-2021","24-Jul-2021","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Interim Dividend - Rs 110 Per Share","10","24-Feb-2020","25-Feb-2020","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Dividend - Rs 35 Per Share","10","31-Jul-2019","-","02-Aug-2019","09-Aug-2019"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Interim Dividend - Rs 25 Per Share","10","29-Jan-2019","30-Jan-2019","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Dividend- Rs 30 Per Share","10","20-Jul-2018","-","24-Jul-2018","30-Jul-2018"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Interim Dividend - Rs 20 Per Share (Purpose Revised)","10","18-Jan-2018","19-Jan-2018","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Dividend - Rs 24 Per Share","10","21-Jul-2017","-","25-Jul-2017","31-Jul-2017"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Special Dividend Rs 100/- Per Share (Purpose Revised)","10","06-Feb-2017","07-Feb-2017","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Interim Dividend - Rs 16/- Per Share (Purpose Revised)","10","22-Aug-2016","23-Aug-2016","-","-"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Annual General Meeting","10","04-Aug-2016","-","08-Aug-2016","12-Aug-2016"
"SHREECEM","SHREE CEMENT LIMITED","EQ"," Interim Dividend - Rs 12/- Per Share (Pupose Revised)","10","17-Mar-2016","18-Mar-2016","-","-"
