"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 4.80 Per Share","2","07-Nov-2025","07-Nov-2025","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Dividend - Rs 3 Per Share","2","11-Jul-2025","11-Jul-2025","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 2.50 Per Share","2","31-Jan-2025","31-Jan-2025","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share","2","10-Jan-2025","10-Jan-2025","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 22 Per Share","2","07-Nov-2024","07-Nov-2024","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Annual General Meeting/Dividend - Rs  15 Per Share","2","23-Jul-2024","-","24-Jul-2024","30-Jul-2024"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 10 Per Share","2","06-Feb-2024","06-Feb-2024","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 20 Per Share","2","06-Nov-2023","06-Nov-2023","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Annual General Meeting/Dividend - Rs 20 Per Share","2","16-Jun-2023","-","17-Jun-2023","23-Jun-2023"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 15 Per Share","2","03-Jan-2023","04-Jan-2023","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Annual General Meeting","2","15-Jun-2022","-","17-Jun-2022","23-Jun-2022"
"SHRIRAMFIN","Shriram Finance Limited","EQ","Interim Dividend - Rs 12 Per Share","2","11-Mar-2022","14-Mar-2022","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Interim Dividend - Rs 8 Per Share","2","09-Nov-2021","10-Nov-2021","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Annual General Meeting/Dividend - Rs 6 Per Share","2","16-Jun-2021","-","18-Jun-2021","24-Jun-2021"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Interim Dividend - Rs 6 Per Share","2","05-Apr-2021","06-Apr-2021","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Interim Dividend - Rs 6 Per Share","2","09-Nov-2020","10-Nov-2020","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Annual General Meeting","2","11-Aug-2020","-","13-Aug-2020","19-Aug-2020"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Rights 3:26 @ Premium Rs 560/-","2","09-Jul-2020","10-Jul-2020","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Interim Dividend-Rs 5 Per Sh","2","07-Nov-2019","08-Nov-2019","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Annual General Meeting/Dividend - Rs 7 Per Share","2","19-Jun-2019","-","21-Jun-2019","27-Jun-2019"
