"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SIEMENS","Siemens Limited","EQ","Demerger","2","07-Apr-2025","07-Apr-2025","-","-"
"SIEMENS","Siemens Limited","EQ","Dividend - Rs 12 Per Share","2","30-Jan-2025","30-Jan-2025","-","-"
"SIEMENS","Siemens Limited","EQ","Dividend - Rs 10 Per Share","2","30-Jan-2024","-","31-Jan-2024","13-Feb-2024"
"SIEMENS","Siemens Limited","EQ","Dividend - Rs 10 Per Share","2","31-Jan-2023","-","01-Feb-2023","14-Feb-2023"
"SIEMENS","Siemens Limited","EQ","Dividend - Rs 8 Per Share","2","20-Jan-2022","-","22-Jan-2022","04-Feb-2022"
"SIEMENS","Siemens Limited","EQ"," Dividend - Rs 7 Per Share","2","27-Jan-2021","-","29-Jan-2021","12-Feb-2021"
"SIEMENS","Siemens Limited","EQ"," Dividend - Rs 7 Per Share","2","03-Feb-2020","-","05-Feb-2020","11-Feb-2020"
"SIEMENS","Siemens Limited","EQ"," Dividend- Rs 7/- Per Share","2","28-Jan-2019","-","30-Jan-2019","06-Feb-2019"
"SIEMENS","Siemens Limited","EQ"," Dividend- Rs 7/- Per Share","2","25-Jan-2018","-","30-Jan-2018","06-Feb-2018"
"SIEMENS","Siemens Limited","EQ"," Dividend - Rs 6/- Per Share","2","31-Jan-2017","-","02-Feb-2017","08-Feb-2017"
"SIEMENS","Siemens Limited","EQ"," Interim Dividend - Rs 27.50/- Per Share","2","12-Aug-2016","17-Aug-2016","-","-"
"SIEMENS","Siemens Limited","EQ"," Final Dividend Rs 6/- Plus Special Dividend Rs 4/- Per Share","2","21-Jan-2016","-","23-Jan-2016","29-Jan-2016"
"SIEMENS","Siemens Limited","EQ","Annual General Meeting/Final Dividend - Rs 6/- Per Share","2","14-Jan-2015","-","16-Jan-2015","30-Jan-2015"
"SIEMENS","Siemens Limited","EQ","Annual General Meeting / Dividend - Rs 5/- Per Share","2","15-Jan-2014","-","17-Jan-2014","30-Jan-2014"
"SIEMENS","Siemens Limited","EQ","Annual General Meeting / Dividend Rs. 6/- Per Share","2","16-Jan-2013","-","18-Jan-2013","31-Jan-2013"
"SIEMENS","Siemens Limited","EQ","Dividend - Rs.6/- Per Share","2","16-Jan-2012","-","18-Jan-2012","31-Jan-2012"
"SIEMENS","Siemens Limited","EQ","Dividend-Rs.5/- Per Share","2","18-Jan-2011","-","20-Jan-2011","28-Jan-2011"
"SIEMENS","Siemens Limited","EQ","Dividend-Rs.5/- Per Share","2","19-Jan-2010","-","21-Jan-2010","29-Jan-2010"
"SIEMENS","Siemens Limited","EQ","Agm/Dividend - 150%","2","14-Jan-2009","-","16-Jan-2009","30-Jan-2009"
"SIEMENS","Siemens Limited","EQ","Bonus 1:1","2","29-Feb-2008","03-Mar-2008","-","-"
