"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Dividend - Rs 5.50 Per Share","1","07-Jul-2025","07-Jul-2025","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Interim Dividend - Rs 10.50 Per Share","1","06-Feb-2025","06-Feb-2025","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Dividend - Rs 5 Per Share","1","12-Jul-2024","12-Jul-2024","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Interim Dividend - Rs 8.50 Per Share","1","09-Feb-2024","09-Feb-2024","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Dividend - Rs 4 Per Share","1","28-Jul-2023","28-Jul-2023","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Interim Dividend - Rs 7.50 Per Share","1","08-Feb-2023","08-Feb-2023","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Dividend - Rs 3 Per Share","1","19-Aug-2022","22-Aug-2022","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Interim Dividend - Rs 7 Per Share","1","09-Feb-2022","10-Feb-2022","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 2 Per Share","1","23-Aug-2021","-","25-Aug-2021","31-Aug-2021"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Interim Dividend - Rs 5.50 Per Share","1","09-Feb-2021","10-Feb-2021","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Annual General Meeting/Dividend - Re 1 Per Share","1","19-Aug-2020","-","21-Aug-2020","27-Aug-2020"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Interim Dividend - Rs 3 Per Share","1","17-Feb-2020","18-Feb-2020","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 2.75 Per Share","1","20-Aug-2019","-","22-Aug-2019","28-Aug-2019"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Annual General Meeting/Dividend Rs 2 Per Share","1","17-Sep-2018","-","19-Sep-2018","26-Sep-2018"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 3.50 Per Share","1","18-Sep-2017","-","20-Sep-2017","26-Sep-2017"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Annual General Meeting/Dividend Re 1/- Per Share","1","08-Sep-2016","-","10-Sep-2016","17-Sep-2016"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Buy Back","1","14-Jul-2016","15-Jul-2016","-","-"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ"," Annual General Meeting/ Dividend - Rs 3/- Per Share","1","21-Oct-2015","-","24-Oct-2015","31-Oct-2015"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Annual General Meeting / Dividend - Rs 1.50/- Per Share","1","11-Sep-2014","-","13-Sep-2014","27-Sep-2014"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","Annual General Meeting / Dividend - Rs 2.50/- Per Share","1","19-Sep-2013","-","23-Sep-2013","30-Sep-2013"
