"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"TATAPOWER","Tata Power Company Limited","EQ","Dividend - Rs 2.25 Per Share","1","20-Jun-2025","20-Jun-2025","-","-"
"TATAPOWER","Tata Power Company Limited","EQ","Dividend - Rs 2 Per Share","1","04-Jul-2024","04-Jul-2024","-","-"
"TATAPOWER","Tata Power Company Limited","EQ","Annual General Meeting/Dividend - Rs 2 Per Share","1","07-Jun-2023","-","08-Jun-2023","14-Jun-2023"
"TATAPOWER","Tata Power Company Limited","EQ","Dividend - Rs 1.75 Per Share","1","15-Jun-2022","-","17-Jun-2022","07-Jul-2022"
"TATAPOWER","Tata Power Company Limited","EQ"," Dividend - Rs 1.55 Per Share","1","17-Jun-2021","-","19-Jun-2021","05-Jul-2021"
"TATAPOWER","Tata Power Company Limited","EQ"," Annual General Meeting/Dividend - Rs 1.55 Per Share","1","14-Jul-2020","-","16-Jul-2020","30-Jul-2020"
"TATAPOWER","Tata Power Company Limited","EQ"," Annual General Meeting/Dividend - Rs 1.30 Per","1","04-Jun-2019","-","07-Jun-2019","18-Jun-2019"
"TATAPOWER","Tata Power Company Limited","EQ"," Dividend Rs - 1.30 Per Share (Date Revised)","1","12-Jul-2018","-","14-Jul-2018","27-Jul-2018"
"TATAPOWER","Tata Power Company Limited","EQ"," Dividend - Rs 1.30/- Per Share","1","10-Aug-2017","-","12-Aug-2017","23-Aug-2017"
"TATAPOWER","Tata Power Company Limited","EQ"," Dividend-Rs.1.30/- Per Share (Book Closure Dates Revised)","1","07-Sep-2016","-","09-Sep-2016","21-Sep-2016"
"TATAPOWER","Tata Power Company Limited","EQ","Annual General Meeting/ Dividend - Rs 1.30/- Per Share","1","20-Jul-2015","-","22-Jul-2015","05-Aug-2015"
"TATAPOWER","Tata Power Company Limited","EQ","Annual General Meeting/Dividend - Rs.1.25 Per Share","1","23-Jul-2014","-","25-Jul-2014","13-Aug-2014"
"TATAPOWER","Tata Power Company Limited","EQ","Rights 7:50 @ Premium Rs.59/- Per Equity Share","1","19-Mar-2014","20-Mar-2014","-","-"
"TATAPOWER","Tata Power Company Limited","EQ","Annual General Meeting / Dividend - Rs.1.15/- Per Equity Share","1","26-Jul-2013","-","30-Jul-2013","16-Aug-2013"
"TATAPOWER","Tata Power Company Limited","EQ","Annual General Meeting/Dividend Re 1.25 Per Share","1","24-Jul-2012","-","26-Jul-2012","17-Aug-2012"
"TATAPOWER","Tata Power Company Limited","EQ","Face Value Split From Rs.10/- To Re.1/-","1","26-Sep-2011","27-Sep-2011","-","-"
"TATAPOWER","Tata Power Company Limited","EQ","Dividend-Rs.12.50 Per Share","1","02-Aug-2011","-","04-Aug-2011","24-Aug-2011"
"TATAPOWER","Tata Power Company Limited","EQ","Dividend-Rs.12/- Per Share","1","16-Aug-2010","-","18-Aug-2010","08-Sep-2010"
"TATAPOWER","Tata Power Company Limited","EQ","Agm/Div-Rs.11.50 Pr Share","1","14-Jul-2009","-","16-Jul-2009","06-Aug-2009"
"TATAPOWER","Tata Power Company Limited","EQ","Agm/Dividend - 105%","1","18-Aug-2008","-","21-Aug-2008","10-Sep-2008"
