"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"UPL","UPL Limited","EQ","Dividend - Rs 6 Per Share","2","11-Jul-2025","11-Jul-2025","-","-"
"UPL","UPL Limited","EQ","Rights 1:8 @ Premium Rs 358/-","2","26-Nov-2024","26-Nov-2024","-","-"
"UPL","UPL Limited","EQ","Dividend - Re 1 Per Share","2","12-Aug-2024","-","13-Aug-2024","27-Aug-2024"
"UPL","UPL Limited","EQ","Annual General Meeting/Dividend - Rs 10 Per Share","2","03-Aug-2023","-","04-Aug-2023","18-Aug-2023"
"UPL","UPL Limited","EQ","Dividend - Rs 10 Per Share","2","27-Jul-2022","-","29-Jul-2022","12-Aug-2022"
"UPL","UPL Limited","EQ"," Dividend - Rs 10 Per Share","2","14-Jul-2021","-","16-Jul-2021","04-Aug-2021"
"UPL","UPL Limited","EQ"," Dividend - Rs 6 Per Sh","2","19-Aug-2020","-","21-Aug-2020","31-Aug-2020"
"UPL","UPL Limited","EQ"," Bonus 1:2","2","02-Jul-2019","03-Jul-2019","-","-"
"UPL","UPL Limited","EQ"," Dividend - Rs 8 Per Share","2","28-May-2019","29-May-2019","-","-"
"UPL","UPL Limited","EQ"," Annual General Meeting/Dividend- Rs 8 Per Share","2","09-Aug-2018","-","11-Aug-2018","23-Aug-2018"
"UPL","UPL Limited","EQ"," Annual General Meeting/Dividend-Rs 7 Per Share","2","22-Jun-2017","-","24-Jun-2017","08-Jul-2017"
"UPL","UPL Limited","EQ"," Annual General Meeting/ Dividend - Rs 5/- Per Share","2","16-Jun-2016","-","18-Jun-2016","29-Jun-2016"
"UPL","UPL Limited","EQ","Annual General Meeting/Dividend - Rs 5/- Per Share","2","16-Jul-2015","-","18-Jul-2015","30-Jul-2015"
"UPL","UPL Limited","EQ","Annual General Meeting/Dividend Rs.4/- Per Share","2","07-Aug-2014","-","09-Aug-2014","22-Aug-2014"
"UPL","UPL Limited","EQ","Annual General Meeting / Dividend - Rs 2.50/- Per Share","2","04-Jul-2013","-","06-Jul-2013","19-Jul-2013"
"UPL","UPL Limited","EQ","Annual General Meeting/ Dividend Of Rs.0.50/- Per Share","2","12-Jul-2012","-","14-Jul-2012","27-Jul-2012"
"UPL","UPL Limited","EQ","Interim Dividend Rs.2/- Per Share (Purpose Revised)","2","03-Apr-2012","07-Apr-2012","-","-"
"UPL","UPL Limited","EQ","Annual General Meeting And Dividend Rs.2/- Per Share","2","14-Jul-2011","-","16-Jul-2011","26-Jul-2011"
"UPL","UPL Limited","EQ","Annual General Meeting And Dividend Rs.2/- Per Share","2","26-Aug-2010","-","28-Aug-2010","08-Sep-2010"
"UPL","UPL Limited","EQ","Agm/Div-Rs.1.50 Per Share","2","03-Sep-2009","-","05-Sep-2009","18-Sep-2009"
