"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"WIPRO","Wipro Limited","EQ","Interim Dividend - Rs 5 Per Share","2","28-Jul-2025","28-Jul-2025","-","-"
"WIPRO","Wipro Limited","EQ","Interim Dividend - Rs 6 Per Share","2","28-Jan-2025","28-Jan-2025","-","-"
"WIPRO","Wipro Limited","EQ","Bonus 1:1","2","03-Dec-2024","03-Dec-2024","-","-"
"WIPRO","Wipro Limited","EQ","Annual General Meeting","2","16-Jul-2024","-","17-Jul-2024","18-Jul-2024"
"WIPRO","Wipro Limited","EQ","Interim Dividend - Re 1 Per Share","2","24-Jan-2024","24-Jan-2024","-","-"
"WIPRO","Wipro Limited","EQ","Annual General Meeting","2","10-Jul-2023","-","11-Jul-2023","12-Jul-2023"
"WIPRO","Wipro Limited","EQ","Buy Back","2","16-Jun-2023","16-Jun-2023","-","-"
"WIPRO","Wipro Limited","EQ","Interim Dividend - Re  1 Per Share","2","24-Jan-2023","25-Jan-2023","-","-"
"WIPRO","Wipro Limited","EQ","Annual General Meeting","2","14-Jul-2022","-","18-Jul-2022","19-Jul-2022"
"WIPRO","Wipro Limited","EQ","Interim Dividend - Rs 5 Per Share","2","05-Apr-2022","06-Apr-2022","-","-"
"WIPRO","Wipro Limited","EQ","Interim Dividend - Re 1 Per Share","2","21-Jan-2022","24-Jan-2022","-","-"
"WIPRO","Wipro Limited","EQ"," Annual General Meeting","2","08-Jul-2021","-","12-Jul-2021","13-Jul-2021"
"WIPRO","Wipro Limited","EQ"," Interim Dividend - Re 1 Per Share","2","22-Jan-2021","25-Jan-2021","-","-"
"WIPRO","Wipro Limited","EQ"," Buyback","2","10-Dec-2020","11-Dec-2020","-","-"
"WIPRO","Wipro Limited","EQ"," Annual General Meeting","2","08-Jul-2020","-","10-Jul-2020","13-Jul-2020"
"WIPRO","Wipro Limited","EQ"," Interim Dividend - Re 1 Per Share","2","24-Jan-2020","27-Jan-2020","-","-"
"WIPRO","Wipro Limited","EQ"," Buyback","2","20-Jun-2019","21-Jun-2019","-","-"
"WIPRO","Wipro Limited","EQ"," Bonus 1:3","2","06-Mar-2019","07-Mar-2019","-","-"
"WIPRO","Wipro Limited","EQ"," Interim Dividend - Re 1 Per Share","2","29-Jan-2019","30-Jan-2019","-","-"
"WIPRO","Wipro Limited","EQ"," Annual General Meeting","2","13-Jul-2018","-","17-Jul-2018","19-Jul-2018"
