"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"YESBANK","Yes Bank Limited","EQ"," Annual General Meeting/ Dividend - Rs 2 Per Share","2","03-Jun-2019","-","06-Jun-2019","12-Jun-2019"
"YESBANK","Yes Bank Limited","EQ"," Annual General Meeting / Dividend- Rs 2.7 Per Share","2","04-Jun-2018","-","06-Jun-2018","12-Jun-2018"
"YESBANK","Yes Bank Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share ","2","21-Sep-2017","22-Sep-2017","-","-"
"YESBANK","Yes Bank Limited","EQ"," Annual General Meeting/Dividend - Rs 12/- Per Share","2","29-May-2017","-","31-May-2017","06-Jun-2017"
"YESBANK","Yes Bank Limited","EQ"," Annual General Meeting/ Dividend - Rs 10/- Per Share","2","30-May-2016","-","01-Jun-2016","07-Jun-2016"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting/ Dividend - Rs 9/- Per Share","2","21-May-2015","-","25-May-2015","06-Jun-2015"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting And Dividend Rs.8 Per Share","2","29-May-2014","-","02-Jun-2014","14-Jun-2014"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting / Final Dividend Rs.6/- Per Equity Share","2","23-May-2013","-","27-May-2013","08-Jun-2013"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting And Dividend Rs.4/- Per Share","2","05-Jul-2012","-","09-Jul-2012","14-Jul-2012"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting And Dividend Rs.2.50 Per Share","2","17-Jun-2011","-","21-Jun-2011","28-Jun-2011"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting And Dividend Rs.1.50 Per Share","2","24-Jun-2010","-","28-Jun-2010","02-Jul-2010"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting","2","27-Aug-2009","-","31-Aug-2009","03-Sep-2009"
"YESBANK","Yes Bank Limited","EQ","Annual General Meeting","2","11-Sep-2008","-","15-Sep-2008","18-Sep-2008"
"YESBANK","Yes Bank Limited","EQ","Agm","2","23-Aug-2007","-","27-Aug-2007","29-Aug-2007"
"YESBANK","Yes Bank Limited","EQ","Agm","2","18-Jul-2006","-","20-Jul-2006","24-Jul-2006"
