"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Dividend - Rs 2.43 Per Share","1","29-Aug-2025","29-Aug-2025","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Dividend - Re 1 Per Share","1","08-Nov-2024","08-Nov-2024","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Annual General Meeting/Dividend - Rs 3 Per Share","1","15-Sep-2022","16-Sep-2022","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ"," Annual General Meeting/Dividend - Rs 2.50 Per Share","1","02-Sep-2021","03-Sep-2021","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ"," Annual General Meeting/Dividend - Rs 0.30 Per Share","1","10-Sep-2020","11-Sep-2020","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ"," Annual General Meeting/ Dividend - Rs 3.50 Per Share","1","15-Jul-2019","16-Jul-2019","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ"," Annual General Meeting / Dividend- Rs 2.90 Per Share","1","09-Jul-2018","10-Jul-2018","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ"," Annual General Meeting/Dividend - Rs 2.50 Per Share","1","05-Jul-2017","06-Jul-2017","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ"," Annual General Meeting/ Dividend -Rs 2.25/- Per Share","1","21-Jul-2016","22-Jul-2016","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Annual General Meeting / Dividend - Rs 2.25/- Per Share","1","09-Jul-2015","-","11-Jul-2015","15-Jul-2015"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Annual General Meeting / Dividend - Rs 2/- Per Share","1","10-Jul-2014","-","12-Jul-2014","18-Jul-2014"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Bonus Preference Shares 21:1","1","03-Mar-2014","04-Mar-2014","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Annual General Meeting And Dividend Rs.2/- Per Share","1","11-Jul-2013","-","13-Jul-2013","19-Jul-2013"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Annual General Meeting And Dividend - Re.1.50 Per Share","1","05-Jul-2012","-","07-Jul-2012","13-Jul-2012"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Annual General Meeting And Dividend Rs.2/- Per Share","1","28-Jul-2011","-","30-Jul-2011","05-Aug-2011"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Bonus 1:1","1","11-Nov-2010","12-Nov-2010","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Annual General Meeting / Dividend Rs.2/- Per Share / Scheme Of Arrangement","1","07-Oct-2010","-","09-Oct-2010","12-Oct-2010"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Spl Int Div-Rs.2/- Pr Shr","1","29-Apr-2010","30-Apr-2010","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Agm/Div-Rs.2/- Per Share","1","06-Aug-2009","-","10-Aug-2009","18-Aug-2009"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Agm/Dividend-200%","1","17-Jul-2008","-","19-Jul-2008","23-Jul-2008"
