,symbol,report_date,total_shares
0,ADANIENT,2025-09-30,1154180729
1,ADANIENT,2025-06-30,1154180729
2,ADANIENT,2025-03-31,1154180729
3,ADANIENT,2024-12-31,1154180729
4,ADANIENT,2024-09-30,1140001121
5,ADANIENT,2024-06-30,1140001121
6,ADANIENT,2024-03-31,1140001121
7,ADANIENT,2023-12-31,1140001121
8,ADANIENT,2023-09-30,1140001121
9,ADANIENT,2023-06-30,1140001121
10,ADANIENT,2023-03-31,1140001121
11,ADANIENT,2022-12-31,1140001121
12,ADANIENT,2022-09-30,1140001121
13,ADANIENT,2022-06-30,1140001121
14,ADANIENT,2022-05-12,1140001121
15,ADANIENT,2022-03-31,1099810083
16,ADANIENT,2021-12-31,1099810083
17,ADANIENT,2021-09-30,1099810083
18,ADANIENT,2021-06-30,1099810083
19,ADANIENT,2021-03-31,1099810083
20,ADANIENT,2020-12-31,1099810083
21,ADANIENT,2020-09-30,1099810083
22,ADANIENT,2020-06-30,1099810083
23,ADANIENT,2020-03-31,1099810083
24,ADANIENT,2019-12-31,1099810083
25,ADANIENT,2019-09-30,1099810083
26,ADANIENT,2019-06-30,1099810083
27,ADANIENT,2019-03-31,1099810083
28,ADANIENT,2018-12-31,1099810083
29,ADANIENT,2018-09-30,1099810083
30,ADANIENT,2018-06-30,1099810083
31,ADANIPORTS,2025-09-30,2160138945
32,ADANIPORTS,2025-06-30,2160138945
33,ADANIPORTS,2025-03-31,2160138945
34,ADANIPORTS,2024-12-31,2160138945
35,ADANIPORTS,2024-09-30,2160138945
36,ADANIPORTS,2024-06-30,2160138945
37,ADANIPORTS,2024-03-31,2160138945
38,ADANIPORTS,2023-12-31,2160138945
39,ADANIPORTS,2023-09-30,2160138945
40,ADANIPORTS,2023-06-30,2160138945
41,ADANIPORTS,2023-03-31,2160138945
42,ADANIPORTS,2022-12-31,2160138945
43,ADANIPORTS,2022-10-19,2160138945
44,ADANIPORTS,2022-09-30,2112373230
45,ADANIPORTS,2022-06-30,2112373230
46,ADANIPORTS,2022-03-31,2112373230
47,ADANIPORTS,2022-02-21,2112373230
48,ADANIPORTS,2021-12-31,2041751761
49,ADANIPORTS,2021-09-30,2041751761
50,ADANIPORTS,2021-06-30,2041751761
51,ADANIPORTS,2021-03-31,2031751761
52,ADANIPORTS,2020-12-31,2031751761
53,ADANIPORTS,2020-09-30,2031751761
54,ADANIPORTS,2020-03-31,2031751761
55,ADANIPORTS,2019-12-31,2031751761
56,ADANIPORTS,2019-09-30,2031751761
57,ADANIPORTS,2019-06-30,2070951761
58,ADANIPORTS,2019-03-31,2070951761
59,ADANIPORTS,2018-12-31,2070951761
60,ADANIPORTS,2018-09-30,2070951761
61,ADANIPORTS,2018-06-30,2070951761
62,ADANIPORTS,2018-03-31,2070951761
63,AMBUJACEM,2025-09-30,2471823478
64,AMBUJACEM,2025-06-30,2463123478
65,AMBUJACEM,2025-03-31,2463123478
66,AMBUJACEM,2024-12-31,2463123478
67,AMBUJACEM,2024-09-30,2463123478
68,AMBUJACEM,2024-06-30,2463123478
69,AMBUJACEM,2024-04-12,2463123478
70,AMBUJACEM,2024-03-31,2197675987
71,AMBUJACEM,2024-03-29,2197675987
72,AMBUJACEM,2023-12-31,1985645229
73,AMBUJACEM,2023-09-30,1985645229
74,AMBUJACEM,2023-06-30,1985645229
75,AMBUJACEM,2023-03-31,1985843229
76,AMBUJACEM,2022-12-31,1985645229
77,AMBUJACEM,2022-09-30,1985645229
78,AMBUJACEM,2022-06-30,1985645229
79,AMBUJACEM,2022-03-31,1985645229
80,AMBUJACEM,2021-12-31,1985645229
81,AMBUJACEM,2021-09-30,1985645229
82,AMBUJACEM,2021-06-30,1985645229
83,AMBUJACEM,2021-03-31,1985645229
84,AMBUJACEM,2020-12-31,1985645229
85,AMBUJACEM,2020-09-30,1985645229
86,AMBUJACEM,2020-06-30,1985645229
87,AMBUJACEM,2020-03-31,1985645229
88,AMBUJACEM,2019-12-31,1985645229
89,AMBUJACEM,2019-09-30,1985645229
90,AMBUJACEM,2019-06-30,1985645229
91,AMBUJACEM,2019-03-31,1985645229
92,AMBUJACEM,2018-12-31,1985645229
93,AMBUJACEM,2018-09-30,1985645229
94,AMBUJACEM,2018-06-30,1985645229
95,APOLLOHOSP,2025-09-30,143784657
96,APOLLOHOSP,2025-06-30,143784657
97,APOLLOHOSP,2025-03-31,143784657
98,APOLLOHOSP,2024-12-31,143784657
99,APOLLOHOSP,2024-09-30,143784657
100,APOLLOHOSP,2024-06-30,143784657
101,APOLLOHOSP,2024-03-31,143784657
102,APOLLOHOSP,2023-12-31,143784657
103,APOLLOHOSP,2023-09-30,143784657
104,APOLLOHOSP,2023-06-30,143784657
105,APOLLOHOSP,2023-03-31,143784657
106,APOLLOHOSP,2022-12-31,143784657
107,APOLLOHOSP,2022-09-30,143784657
108,APOLLOHOSP,2022-06-30,143784657
109,APOLLOHOSP,2022-03-31,143784657
110,APOLLOHOSP,2021-12-31,143784657
111,APOLLOHOSP,2021-09-30,143784657
112,APOLLOHOSP,2021-06-30,143784657
113,APOLLOHOSP,2021-03-31,143784657
114,APOLLOHOSP,2021-01-23,143784657
115,APOLLOHOSP,2020-12-31,139125159
116,APOLLOHOSP,2020-09-30,139125159
117,APOLLOHOSP,2020-06-30,139125159
118,APOLLOHOSP,2020-03-31,139125159
119,APOLLOHOSP,2019-12-31,139125159
120,APOLLOHOSP,2019-09-30,139125159
121,APOLLOHOSP,2019-06-30,139125159
122,APOLLOHOSP,2019-03-31,139125159
123,APOLLOHOSP,2018-12-31,139125159
124,APOLLOHOSP,2018-09-30,139125159
125,APOLLOHOSP,2018-06-30,139125159
126,ASIANPAINT,2025-09-30,959197790
127,ASIANPAINT,2025-06-30,959197790
128,ASIANPAINT,2025-03-31,959197790
129,ASIANPAINT,2024-12-31,959197790
130,ASIANPAINT,2024-09-30,959197790
131,ASIANPAINT,2024-06-30,959197790
132,ASIANPAINT,2024-03-31,959197790
133,ASIANPAINT,2023-12-31,959197790
134,ASIANPAINT,2023-09-30,959197790
135,ASIANPAINT,2023-06-30,959197790
136,ASIANPAINT,2023-03-31,959197790
137,ASIANPAINT,2022-12-31,959197790
138,ASIANPAINT,2022-09-30,959197790
139,ASIANPAINT,2022-06-30,959197790
