report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
31-03-18,,2070951761,,,959197790,,,289367020,,577968388,,3997400102,805119164,,,165910907,27255549,,657371435,1392246384,,2011740043,2244962902,1523822625,2164528777,6427990776,600223187,2184114257,,,,,,1401369456,,1243192544,302080060,96415716,8245464400,12833235180,5231589648,6334651022,,34837225,2399323180,631129729,1204119440,1914287591,979733808,887786160,2887348694,274613985,509333081,4523784491
30-06-18,1099810083,2070951761,1985645229,139125159,959197790,585907609,2567940686,289367020,159135097,577968388,2436592943,3997400107,805191188,6207409177,265468580,165973228,27266300,2255070933,657578253,1392406704,2604157867,2012517697,2245051892,1523822625,2164633806,6431732828,600437982,2184127091,9711809928,,,2417220440,1906131883,1401727601,452140064,1243192544,302080060,96415716,8245464400,12833235180,5231589648,6336398954,8924587534,34837225,2399324494,631129729,1204119440,3828575182,979733808,887786160,2887348694,274619071,509342670,4523995447
06-09-18,1099810083,2070951761,1985645229,139125159,959197790,585907609,2567940686,289367020,159135097,577968388,2436592943,3997400107,805191188,6207409177,265468580,165973228,27266300,2255070933,657578253,1392406704,2604157867,2012517697,2245051892,1523822625,2164633806,6431732828,600437982,4368382980,9711809928,,,2417220440,1906131883,1401727601,452140064,1243192544,302080060,96415716,8245464400,12833235180,5231589648,6336398954,8924587534,34837225,2399324494,631129729,1204119440,3828575182,979733808,887786160,2887348694,274619071,509342670,4523995447
30-09-18,1099810083,2070951761,1985645229,139125159,959197790,585907609,2569115216,289367020,159136111,577968388,2436592943,3997400107,805227852,6207409177,265468580,166045857,27268603,2255070933,657591288,1392521664,2717176187,2013907962,2245349407,1523822625,2164648943,6435132059,601296202,4368382980,9711809928,,,2417220440,1907004130,1401727601,452193625,1243192544,302080060,96415716,8245464400,12833235180,5231589648,6338440341,8924587534,34837225,2399324674,631129729,1204119926,3752384706,980798811,887786160,2887348694,274625869,509342670,4524079523
31-12-18,1099810083,2070951761,1985645229,139125159,959197790,585907609,2569909771,289367020,159136111,577968388,2436592943,3997400107,805667509,6207409177,265468580,166060861,27275653,2255070934,657591288,1356261268,2719501383,2017256697,2245512385,1523822625,2164648943,6440817054,602082563,4368647898,9711809928,,,2417220440,1907544110,1402220289,452405376,1243192544,302080060,96415716,8245464400,12833235180,5231589648,6338561852,8924587534,34837225,2399328274,631129729,1204125710,3752384706,981249832,887786160,2887348694,274635762,509342670,4525022173
14-02-19,1099810083,2070951761,1985645229,139125159,959197790,585907609,2569909771,289367020,159136111,577968388,2436592943,3997400107,805667509,6207409177,265468580,166060861,27275653,2255070934,657591288,1356261268,2719501383,2017256697,2245512385,1523822625,2164648943,6440817054,602082563,4368647898,9414158922,,,2417220440,1907544110,1402220289,452405376,1243192544,302080060,96415716,8245464400,12833235180,5231589648,6338561852,8924587534,34837225,2399328274,631129729,1204125710,3752384706,981249832,887786160,2887348694,274635762,509342670,4525022173
08-03-19,1099810083,2070951761,1985645229,139125159,959197790,585907609,2569909771,289367020,159136111,577968388,2436592943,3997400107,805667509,6207409177,265468580,166060861,27275653,2255070934,657591288,1356261268,2719501383,2017256697,2245512385,1523822625,2164648943,6440817054,602082563,4368647898,9414158922,,,2417220440,1907544110,1402220289,452405376,1243192544,302080060,96415716,8245464400,12833235180,5231589648,6338561852,8924587534,34837225,2399328274,631129729,1204125710,3752384706,981249832,887786160,2887348694,274635762,509342670,6033876721
23-03-19,1099810083,2070951761,1985645229,139125159,959197790,585907609,2569909771,289367020,159136111,577968388,2436592943,3997400107,805667509,6207409177,265468580,166060861,27275653,2255070934,657591288,1356261268,2719501383,2017256697,2245512385,1523822625,2164648943,6440817054,602082563,4368647898,9414158922,,,2417220440,1907544110,1402220289,452405376,1243192544,302080060,96415716,9894557280,12833235180,5231589648,6338561852,8924587534,34837225,2399328274,631129729,1204125710,3752384706,981249832,887786160,2887348694,274635762,509342670,6033876721
31-03-19,1099810083,2070951761,1985645229,139125159,959197790,585915609,2571644871,289367020,159136111,577968388,2436592943,3997400107,805701266,6162728327,265468580,166065948,27283473,2274337216,657598363,1356278868,2723306610,2017381157,2245530245,1523822625,2164704405,6446239653,602686868,4361733444,9414158922,,,2417220440,1908754827,1402729385,452493697,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6338693823,8924611534,34837225,2399334970,631129729,1204126385,3752384706,983362470,887786160,2887348694,274642720,509342670,6033935388
28-05-19,1099810083,2070951761,1985645229,139125159,959197790,585915609,2571644871,289367020,159136111,577968388,2436592943,5130991182,805701266,6162728327,265468580,166065948,27283473,2274337216,657598363,1356278868,2723306610,2017381157,2245530245,1523822625,2164704405,6446239653,602686868,4361733444,9414158922,,,2417220440,1908754827,1402729385,452493697,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6338693823,8924611534,34837225,2399334970,631129729,1204126385,3752384706,983362470,887786160,2887348694,274642720,509342670,6033935388
