symbol,report_date,total_shares
Adani Enterprises Limited,2023-12-31,1140001121
Adani Enterprises Limited,2024-03-31,1140001121
Adani Enterprises Limited,2024-12-31,1154180729
Adani Enterprises Limited,2025-03-31,1154180729
Adani Enterprises Limited,2025-09-30,1154180729
Adani Enterprises Limited,2025-06-30,1154180729
Adani Enterprises Limited,2024-09-30,1140001121
Adani Enterprises Limited,2023-06-30,1140001121
Adani Enterprises Limited,2024-06-30,1140001121
Adani Enterprises Limited,2023-09-30,1140001121
Adani Enterprises Limited,2023-03-31,1140001121
Adani Enterprises Limited,2022-06-30,1140001121
Adani Enterprises Limited,2022-12-31,1140001121
Adani Enterprises Limited,2022-09-30,1140001121
Adani Enterprises Limited,2022-03-31,1099810083
Adani Enterprises Limited,2022-05-12,1140001121
Adani Enterprises Limited,2021-12-31,1099810083
Adani Enterprises Limited,2021-09-30,1099810083
Adani Enterprises Limited,2021-03-31,1099810083
Adani Enterprises Limited,2021-06-30,1099810083
Adani Enterprises Limited,2020-12-31,1099810083
Adani Enterprises Limited,2020-09-30,1099810083
Adani Enterprises Limited,2020-06-30,1099810083
Adani Enterprises Limited,2020-03-31,1099810083
Adani Enterprises Limited,2019-12-31,1099810083
Adani Ports and Special Economic Zone Limited,2024-06-30,2160138945
Adani Ports and Special Economic Zone Limited,2024-03-31,2160138945
Adani Ports and Special Economic Zone Limited,2023-03-31,2160138945
Adani Ports and Special Economic Zone Limited,2023-09-30,2160138945
Adani Ports and Special Economic Zone Limited,2023-06-30,2160138945
Adani Ports and Special Economic Zone Limited,2024-09-30,2160138945
Adani Ports and Special Economic Zone Limited,2023-12-31,2160138945
Adani Ports and Special Economic Zone Limited,2022-10-19,2160138945
Adani Ports and Special Economic Zone Limited,2022-09-30,2112373230
Adani Ports and Special Economic Zone Limited,2022-12-31,2160138945
Adani Ports and Special Economic Zone Limited,2022-06-30,2112373230
Adani Ports and Special Economic Zone Limited,2022-03-31,2112373230
Adani Ports and Special Economic Zone Limited,2022-02-21,2112373230
Adani Ports and Special Economic Zone Limited,2021-12-31,2041751761
Adani Ports and Special Economic Zone Limited,2021-09-30,2041751761
Adani Ports and Special Economic Zone Limited,2021-06-30,2041751761
Adani Ports and Special Economic Zone Limited,2021-03-31,2031751761
Adani Ports and Special Economic Zone Limited,2020-09-30,2031751761
Adani Ports and Special Economic Zone Limited,2020-12-31,2031751761
Adani Ports and Special Economic Zone Limited,2020-03-31,2031751761
Adani Ports and Special Economic Zone Limited,2019-12-31,2031751761
Adani Ports and Special Economic Zone Limited,2019-06-30,2070951761
Adani Ports and Special Economic Zone Limited,2019-03-31,2070951761
