,0
2018-04-02,1000.0
2018-04-03,1005.0449921625915
2018-04-04,994.6926793660616
2018-04-05,1014.3482007606513
2018-04-06,1012.7550736561683
2018-04-09,1016.7149945756
2018-04-10,1024.0390683559272
2018-04-11,1028.146426760462
2018-04-12,1031.5675638215494
2018-04-13,1032.4607452341643
2018-04-16,1036.3066665664862
2018-04-17,1036.6039538485982
2018-04-18,1033.6276821253425
2018-04-19,1037.7437004711906
2018-04-20,1038.7137017164757
2018-04-23,1041.6165433083763
2018-04-24,1045.508039888129
2018-04-25,1043.6614516401746
2018-04-26,1047.9185484417274
2018-04-27,1054.9038635335917
2018-04-30,1059.4290480752434
2018-05-02,1053.9960571753281
2018-05-03,1050.9707245290933
2018-05-04,1045.4950437832972
2018-05-07,1055.3224929048608
2018-05-08,1060.050953994738
2018-05-09,1061.8738243046664
2018-05-10,1062.2202222792246
2018-05-11,1067.7773676886113
2018-05-14,1069.8560418972734
2018-05-15,1067.5905254572067
2018-05-16,1061.954034241299
2018-05-17,1058.0014140106753
2018-05-18,1049.50982334326
2018-05-21,1046.2654286946681
2018-05-22,1047.5224574360125
2018-05-23,1041.3527012739935
2018-05-24,1051.1163315908307
2018-05-25,1058.6485933382316
2018-05-28,1068.4094306829693
2018-05-29,1061.958797834541
2018-05-30,1060.9223932077612
2018-05-31,1070.6661477933326
2018-06-01,1067.2528671464593
2018-06-04,1058.8714911875998
2018-06-05,1053.3310505045622
2018-06-06,1062.391959045623
2018-06-07,1071.0430798292762
2018-06-08,1074.7113805489723
2018-06-11,1079.6337071322037
2018-06-12,1088.6995885574438
2018-06-13,1090.811464180069
2018-06-14,1084.7627834143407
2018-06-15,1085.5127153421633
2018-06-18,1082.537554480384
2018-06-19,1073.027699874452
2018-06-20,1078.5583665672152
2018-06-21,1073.4823995352062
2018-06-22,1079.2412085827032
2018-06-25,1072.529417868457
2018-06-26,1076.9088506457697
2018-06-27,1067.7500057596255
2018-06-28,1059.9119297598447
2018-06-29,1071.8361659717814
2018-07-02,1071.8361659717814
2018-07-03,1077.8116852072242
2018-07-04,1085.1123718481335
2018-07-05,1085.5220196916214
2018-07-06,1089.802077971418
2018-07-09,1096.568607099839
2018-07-10,1101.846999859526
2018-07-11,1109.694924372396
2018-07-12,1117.213168337491
2018-07-13,1116.5470467149007
2018-07-16,1106.5199949658956
2018-07-17,1112.9467784587348
2018-07-18,1108.567729831057
2018-07-19,1105.2282541758182
2018-07-20,1112.9677761210828
2018-07-23,1124.5626841395574
2018-07-24,1126.9453637145807
2018-07-25,1123.8383689830073
2018-07-26,1127.190916903462
2018-07-27,1129.3447604035441
2018-07-30,1141.6397850102692
2018-07-31,1148.2320063457237
2018-08-01,1149.6858711224652
2018-08-02,1139.3621431799277
2018-08-03,1151.609624363868
2018-08-06,1156.9334561564779
2018-08-07,1153.6525878223913
2018-08-08,1161.570619508049
2018-08-09,1164.0163284572338
2018-08-10,1158.5694528814495
2018-08-13,1152.1516361390277
2018-08-14,1162.7222589062198
2018-08-16,1159.5321430818153
2018-08-17,1168.4157853567544
2018-08-20,1176.0071713114874
2018-08-21,1177.8243587795082
2018-08-23,1182.5977428644069
2018-08-24,1181.7275509573658
2018-08-27,1194.5585542912982
2018-08-28,1199.9955645834987
2018-08-29,1196.2214645378772
2018-08-30,1195.6032560593485
2018-08-31,1195.2515478660516
2018-09-03,1178.3419591256056
2018-09-04,1171.3623141001412
2018-09-05,1163.6010992832057
2018-09-06,1167.914073562155
2018-09-07,1173.9613508262105
2018-09-10,1159.160325914273
2018-09-11,1146.7654290229923
2018-09-12,1151.5788426282418
2018-09-14,1162.7802122982123
2018-09-17,1150.651799885961
2018-09-18,1142.4240665735092
2018-09-19,1140.4555539137655
2018-09-21,1134.457632752239
2018-09-24,1127.3306094157383
2018-09-25,1139.8618413464242
2018-09-26,1133.9692311540668
2018-09-27,1130.5319703463474
2018-09-28,1123.541159695957
2018-10-01,1123.541159695957
2018-10-03,1098.4078760116824
2018-10-04,1073.3097454654292
2018-10-05,1049.9698327665412
2018-10-08,1057.1939717649143
2018-10-09,1049.7546008039135
2018-10-10,1061.8614080416323
2018-10-11,1038.2238660076848
2018-10-12,1055.5908837276534
2018-10-15,1055.5017747878485
2018-10-16,1066.6830678438985
2018-10-17,1054.4051315975241
2018-10-19,1043.7532186383207
2018-10-22,1035.1246723356992
2018-10-23,1019.3303419779451
2018-10-24,1026.6473270604163
2018-10-25,1019.536473618645
2018-10-26,1006.5910525685807
2018-10-29,1034.1907877872623
2018-10-30,1033.1094696988384
2018-10-31,1049.9129489338588
2018-11-01,1049.9087014110416
2018-11-02,1063.7893633465944
2018-11-05,1064.3396062152176
2018-11-06,1066.151607462919
2018-11-07,1072.7963833436581
2018-11-09,1071.395788959907
2018-11-12,1063.396165789093
2018-11-13,1072.8370229909867
2018-11-14,1071.2768803951865
2018-11-15,1074.3497878466476
2018-11-16,1079.8389325452636
2018-11-19,1085.9029050898318
2018-11-20,1075.7683633105266
2018-11-21,1068.204773798801
2018-11-22,1060.054852966151
2018-11-26,1071.9726949886976
2018-11-27,1079.1635615953078
2018-11-28,1086.6093179410889
2018-11-29,1094.6920097788038
2018-11-30,1094.8614918070211
2018-12-03,1099.38662409961
2018-12-04,1098.7180136906507
