"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bosch Limited","70.54","29.46","0","-","30-SEP-2025","15-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1549430_15102025072048_WEB.xml","15-OCT-2025 19:20:53","15-OCT-2025 19:20:56","00:00:03"
"Bosch Limited","70.54","29.46","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1486636_18072025043453_WEB.xml","18-JUL-2025 16:34:57","18-JUL-2025 16:35:00","00:00:03"
"Bosch Limited","70.54","29.46","0","-","31-MAR-2025","17-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197644_1416926_17042025021347_WEB.xml","17-APR-2025 14:13:48","17-APR-2025 14:13:52","00:00:04"
"Bosch Limited","70.54","29.46","0","-","31-DEC-2024","16-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194945_1347952_16012025061506_WEB.xml","16-JAN-2025 18:15:07","16-JAN-2025 18:15:10","00:00:03"
"Bosch Limited","70.54","29.46","0","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192502_1274363_17102024023344_WEB.xml","17-OCT-2024 14:33:45","17-OCT-2024 14:33:48","00:00:03"
"Bosch Limited","70.54","29.46","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189996_1191341_18072024030658_WEB.xml","18-JUL-2024 15:06:59","18-JUL-2024 15:07:04","00:00:05"
"Bosch Limited","70.54","29.46","0","-","31-MAR-2024","11-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186296_1087328_11042024091026_WEB.xml","11-APR-2024 09:10:27","11-APR-2024 09:15:04","00:04:37"
"Bosch Limited","70.54","29.46","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184899_1028517_19012024121953_WEB.xml","19-JAN-2024 12:19:54","19-JAN-2024 12:25:04","00:05:10"
"Bosch Limited","70.54","29.46","0","-","30-SEP-2023","10-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180961_945898_10102023061121_WEB.xml","10-OCT-2023 18:11:22","10-OCT-2023 18:15:11","00:03:49"
"Bosch Limited","70.54","29.46","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179626_891882_19072023011928_WEB.xml","19-JUL-2023 13:19:29","19-JUL-2023 13:30:02","00:10:33"
