"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","30-SEP-2025","16-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1549661_16102025105342_WEB.xml","16-OCT-2025 10:53:45","16-OCT-2025 10:53:50","00:00:05"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488983_21072025045338_WEB.xml","21-JUL-2025 16:53:41","21-JUL-2025 16:53:46","00:00:05"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197427_1415763_16042025033233_WEB.xml","16-APR-2025 15:32:33","16-APR-2025 15:32:38","00:00:05"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194725_1346022_15012025034927_WEB.xml","15-JAN-2025 15:49:28","15-JAN-2025 15:49:32","00:00:04"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","30-SEP-2024","11-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191614_1265761_11102024121559_WEB.xml","11-OCT-2024 12:16:00","11-OCT-2024 12:16:03","00:00:03"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","30-JUN-2024","17-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189708_1188409_17072024103452_WEB.xml","17-JUL-2024 10:34:52","17-JUL-2024 10:34:56","00:00:04"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","24-JUN-2024","03-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188597_1169298_03072024035645_WEB.xml","03-JUL-2024 15:56:46","03-JUL-2024 15:56:50","00:00:04"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","31-MAR-2024","16-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186948_1093770_16042024023614_WEB.xml","16-APR-2024 14:36:15","16-APR-2024 14:40:04","00:03:49"
"Bharat Petroleum Corporation Limited","52.98","46.71","0.32","-","31-DEC-2023","15-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184193_1021072_15012024034554_WEB.xml","15-JAN-2024 15:45:54","15-JAN-2024 15:50:04","00:04:10"
"Bharat Petroleum Corporation Limited","52.98","46.71","0.32","-","30-SEP-2023","16-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181595_952709_16102023100804_WEB.xml","16-OCT-2023 10:08:04","16-OCT-2023 10:15:07","00:07:03"
"Bharat Petroleum Corporation Limited","52.98","46.71","0.32","-","30-JUN-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180095_896385_21072023093818_WEB.xml","21-JUL-2023 09:38:19","21-JUL-2023 09:45:06","00:06:47"
"Bharat Petroleum Corporation Limited","52.98","46.71","0.32","-","31-MAR-2023","19-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177433_825955_19042023041346_WEB.xml","19-APR-2023 16:13:46","19-APR-2023 16:15:19","00:01:33"
"Bharat Petroleum Corporation Limited","52.98","46.71","0.32","-","31-DEC-2022","13-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174086_764964_13012023120035_WEB.xml","13-JAN-2023 12:10:11",,"::"
"Bharat Petroleum Corporation Limited","52.98","47.02","0","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172894_739945_21102022042929_WEB.xml","21-OCT-2022 16:40:38",,"::"
"Bharat Petroleum Corporation Limited","52.98","46.71","0.32","-","30-JUN-2022","19-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170115_695134_19072022042809_WEB.xml","19-JUL-2022 16:40:30",,"::"
