"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Britannia Industries Limited","50.55","49.45","0","-","30-SEP-2025","21-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1555046_21102025082217_WEB.xml","21-OCT-2025 20:22:21","21-OCT-2025 20:22:25","00:00:04"
"Britannia Industries Limited","50.55","49.45","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488437_21072025125300_WEB.xml","21-JUL-2025 12:53:04","21-JUL-2025 12:53:09","00:00:05"
"Britannia Industries Limited","50.55","49.45","0","-","31-MAR-2025","21-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198587_1420585_21042025112115_WEB.xml","21-APR-2025 11:21:16","21-APR-2025 11:21:20","00:00:04"
"Britannia Industries Limited","50.55","49.45","0","-","31-DEC-2024","21-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195840_1354535_21012025124229_WEB.xml","21-JAN-2025 12:42:30","21-JAN-2025 12:42:34","00:00:04"
"Britannia Industries Limited","50.55","49.45","0","-","30-SEP-2024","21-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193381_1282067_21102024015333_WEB.xml","21-OCT-2024 13:53:34","21-OCT-2024 13:53:38","00:00:04"
"Britannia Industries Limited","50.55","49.45","0","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190294_1194455_19072024034604_WEB.xml","19-JUL-2024 15:46:05","19-JUL-2024 15:46:10","00:00:05"
"Britannia Industries Limited","50.55","49.45","0","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187785_1100643_19042024030234_WEB.xml","19-APR-2024 15:02:36","19-APR-2024 15:05:03","00:02:27"
"Britannia Industries Limited","50.55","49.45","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184945_1028986_19012024024511_WEB.xml","19-JAN-2024 14:45:12","19-JAN-2024 14:50:04","00:04:52"
"Britannia Industries Limited","50.55","49.45","0","-","30-SEP-2023","20-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182716_963312_20102023045655_WEB.xml","20-OCT-2023 16:56:55","20-OCT-2023 17:00:27","00:03:32"
"Britannia Industries Limited","50.55","49.45","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179594_891585_19072023120018_WEB.xml","19-JUL-2023 12:00:19","19-JUL-2023 12:15:05","00:14:46"
"Britannia Industries Limited","50.55","49.45","0","-","31-MAR-2023","19-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177342_825153_19042023122228_WEB.xml","19-APR-2023 12:22:29","19-APR-2023 12:30:41","00:08:12"
"Britannia Industries Limited","50.55","49.45","0","-","31-DEC-2022","19-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175110_774116_19012023081326_WEB.xml","19-JAN-2023 20:40:07",,"::"
"Britannia Industries Limited","50.55","49.45","0","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172970_740315_21102022053700_WEB.xml","21-OCT-2022 17:40:42",,"::"
"Britannia Industries Limited","50.55","49.45","0","-","30-JUN-2022","12-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169079_685501_12072022040923_WEB.xml","12-JUL-2022 16:10:15",,"::"
"Britannia Industries Limited","50.55","49.45","0","-","31-MAR-2022","19-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167580_640418_19042022020414_WEB.xml","19-APR-2022 14:10:34",,"::"
