"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Hero MotoCorp Limited","34.73","65.27","0","-","30-SEP-2025","14-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1548174_14102025075517_WEB.xml","14-OCT-2025 19:55:23","14-OCT-2025 19:55:28","00:00:05"
"Hero MotoCorp Limited","34.74","65.26","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489947_21072025111326_WEB.xml","21-JUL-2025 23:13:33","21-JUL-2025 23:13:37","00:00:04"
"Hero MotoCorp Limited","34.74","65.26","0","-","31-MAR-2025","17-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197855_1417888_17042025075334_WEB.xml","17-APR-2025 19:53:35","17-APR-2025 19:53:39","00:00:04"
"Hero MotoCorp Limited","34.74","65.26","0","-","31-DEC-2024","16-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194966_1348193_16012025073318_WEB.xml","16-JAN-2025 19:33:19","16-JAN-2025 19:33:23","00:00:04"
"Hero MotoCorp Limited","34.75","65.25","0","-","30-SEP-2024","10-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191578_1265373_10102024070017_WEB.xml","10-OCT-2024 19:00:19","10-OCT-2024 19:00:23","00:00:04"
"Hero MotoCorp Limited","34.76","65.24","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190157_1193096_18072024091418_WEB.xml","18-JUL-2024 21:14:19","18-JUL-2024 21:14:24","00:00:05"
"Hero MotoCorp Limited","34.76","65.24","0","-","31-MAR-2024","16-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187108_1095171_16042024091637_WEB.xml","16-APR-2024 21:16:39","16-APR-2024 21:20:09","00:03:30"
"Hero MotoCorp Limited","34.76","65.24","0","-","31-DEC-2023","16-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184429_1023806_16012024082259_WEB.xml","16-JAN-2024 20:23:00","16-JAN-2024 20:25:04","00:02:04"
"Hero MotoCorp Limited","34.77","65.23","0","-","30-SEP-2023","16-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181601_952766_16102023110804_WEB.xml","16-OCT-2023 11:08:05","16-OCT-2023 11:15:10","00:07:05"
"Hero MotoCorp Limited","34.77","65.23","0","-","30-JUN-2023","14-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178986_885487_14072023063305_WEB.xml","14-JUL-2023 18:33:06","14-JUL-2023 18:45:04","00:11:58"
"Hero MotoCorp Limited","34.77","65.23","0","-","31-MAR-2023","17-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176912_821663_17042023041449_WEB.xml","17-APR-2023 16:14:50","17-APR-2023 16:15:41","00:00:51"
"Hero MotoCorp Limited","34.77","65.23","0","-","31-DEC-2022","13-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174216_766300_13012023060000_WEB.xml","13-JAN-2023 18:10:24",,"::"
"Hero MotoCorp Limited","34.77","65.23","0","-","30-SEP-2022","19-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172050_735081_19102022072104_WEB.xml","19-OCT-2022 19:40:17",,"::"
"Hero MotoCorp Limited","34.78","65.22","0","-","30-JUN-2022","14-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169409_688920_14072022034257_WEB.xml","14-JUL-2022 16:10:17",,"::"
"Hero MotoCorp Limited","34.75","65.25","0","-","31-MAR-2022","20-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167853_642733_20042022125225_WEB.xml","20-APR-2022 13:10:36",,"::"
"Hero MotoCorp Limited","34.75","65.25","0","-","31-DEC-2021","12-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164328_585432_12012022092237_WEB.xml","12-JAN-2022 21:40:05",,"::"
"Hero MotoCorp Limited","34.76","65.24","0","-","30-SEP-2021","12-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161558_529981_12102021043714_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Hero MotoCorp Limited","34.76","65.24","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159243_482913_14072021013124_WEB.xml","14-JUL-2021 13:40:12",,"::"
"Hero MotoCorp Limited","34.76","65.24","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156833_432462_13042021093949_WEB.xml","13-APR-2021 21:40:05",,"::"
