"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"LTIMindtree Limited","68.54","31.44","0.02","-","30-SEP-2025","20-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1554399_20102025040450_WEB.xml","20-OCT-2025 16:04:55","20-OCT-2025 16:04:59","00:00:04"
"LTIMindtree Limited","68.56","31.44","0.01","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488944_21072025043803_WEB.xml","21-JUL-2025 16:38:08","21-JUL-2025 16:38:13","00:00:05"
"LTIMindtree Limited","68.57","31.42","0","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198079_1418703_18042025042447_WEB.xml","18-APR-2025 16:24:47","18-APR-2025 16:24:51","00:00:04"
"LTIMindtree Limited","68.57","31.4","0.03","-","31-DEC-2024","20-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195389_1351538_20012025105935_WEB.xml","20-JAN-2025 10:59:36","20-JAN-2025 10:59:40","00:00:04"
"LTIMindtree Limited","68.6","31.38","0.02","-","30-SEP-2024","14-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191829_1268047_14102024032128_WEB.xml","14-OCT-2024 15:21:29","14-OCT-2024 15:21:33","00:00:04"
"LTIMindtree Limited","68.6","31.37","0.03","-","30-JUN-2024","16-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189530_1186356_16072024102531_WEB.xml","16-JUL-2024 10:25:32","16-JUL-2024 10:25:35","00:00:03"
"LTIMindtree Limited","68.6","31.4","0","-","31-MAR-2024","19-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187680_1099811_19042024104604_WEB.xml","19-APR-2024 10:46:05","19-APR-2024 10:50:04","00:03:59"
"LTIMindtree Limited","68.64","31.35","0","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184988_1029393_19012024040916_WEB.xml","19-JAN-2024 16:09:17","19-JAN-2024 16:15:03","00:05:46"
"LTIMindtree Limited","68.66","31.34","0","-","30-SEP-2023","19-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182510_961287_19102023063900_WEB.xml","19-OCT-2023 18:39:01","19-OCT-2023 18:45:03","00:06:02"
"LTIMindtree Limited","68.66","31.33","0.01","-","30-JUN-2023","21-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180135_896772_21072023011157_WEB.xml","21-JUL-2023 13:11:58","21-JUL-2023 13:15:05","00:03:07"
