"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Vedanta Limited","56.38","43.49","0.13","-","30-SEP-2025","21-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1554721_21102025011503_WEB.xml","21-OCT-2025 13:15:09","21-OCT-2025 13:15:13","00:00:04"
"Vedanta Limited","56.38","43.49","0.13","-","30-JUN-2025","19-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1487751_19072025034528_WEB.xml","19-JUL-2025 15:45:33","19-JUL-2025 15:45:39","00:00:06"
"Vedanta Limited","56.38","43.49","0.13","-","31-MAR-2025","19-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198312_1419579_19042025121416_WEB.xml","19-APR-2025 12:14:17","19-APR-2025 12:14:20","00:00:03"
"Vedanta Limited","56.38","43.5","0.11","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194763_1346406_15012025053958_WEB.xml","15-JAN-2025 17:39:59","15-JAN-2025 17:40:04","00:00:05"
"Vedanta Limited","56.38","43.45","0.16","-","30-SEP-2024","19-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193114_1279727_19102024010147_WEB.xml","19-OCT-2024 13:01:49","19-OCT-2024 13:01:52","00:00:03"
"Vedanta Limited","56.38","43.45","0.17","-","20-JUL-2024","24-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190803_1200883_24072024021302_WEB.xml","24-JUL-2024 14:13:03","24-JUL-2024 14:13:06","00:00:03"
"Vedanta Limited","59.32","40.51","0.18","-","30-JUN-2024","10-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189002_1178851_10072024062003_WEB.xml","10-JUL-2024 18:20:04","10-JUL-2024 18:20:08","00:00:04"
"Vedanta Limited","61.95","37.87","0.18","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187425_1097553_18042024123122_WEB.xml","18-APR-2024 12:31:23","18-APR-2024 12:35:04","00:03:41"
"Vedanta Limited","63.71","36.22","0.06","-","31-DEC-2023","17-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184460_1024107_17012024120614_WEB.xml","17-JAN-2024 12:06:15","17-JAN-2024 12:10:03","00:03:48"
"Vedanta Limited","63.71","36.21","0.08","-","30-SEP-2023","16-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181651_953173_16102023022708_WEB.xml","16-OCT-2023 14:27:10","16-OCT-2023 14:30:12","00:03:02"
"Vedanta Limited","68.11","31.81","0.08","-","30-JUN-2023","17-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-JUL-2023 19:19:51","17-JUL-2023 19:30:36","00:10:45"
"Vedanta Limited","68.11","31.78","0.11","-","31-MAR-2023","21-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178024_831244_21042023070049_WEB.xml","21-APR-2023 19:00:50","21-APR-2023 19:15:31","00:14:41"
"Vedanta Limited","69.69","30.09","0.22","-","31-DEC-2022","19-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174885_772470_19012023112640_WEB.xml","19-JAN-2023 11:40:11",,"::"
"Vedanta Limited","69.69","30.09","0.22","-","30-SEP-2022","21-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173004_740465_21102022060157_WEB.xml","21-OCT-2022 18:10:43",,"::"
"Vedanta Limited","69.69","30.09","0.22","-","30-JUN-2022","20-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170405_697394_20072022044033_WEB.xml","20-JUL-2022 17:10:20",,"::"
"Vedanta Limited","69.69","30.08","0.23","-","31-MAR-2022","19-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_167628_640835_19042022034415_WEB.xml","19-APR-2022 16:10:33",,"::"
"Vedanta Limited","69.69","30.06","0.25","-","31-DEC-2021","15-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164653_588940_15012022044748_WEB.xml","15-JAN-2022 17:10:06",,"::"
"Vedanta Limited","65.18","34.5","0.32","-","30-SEP-2021","14-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161933_533462_14102021061101_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Vedanta Limited","65.18","34.5","0.32","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_160306_492367_20072021071647_WEB.xml","20-JUL-2021 19:40:14",,"::"
"Vedanta Limited","65.18","34.49","0.33","-","16-APR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158285_445090_30042021040846_WEB.xml","30-APR-2021 16:10:03",,"::"
"Vedanta Limited","55.11","44.56","0.33","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_157716_440368_20042021101613_WEB.xml","20-APR-2021 10:40:11",,"::"
"Vedanta Limited","55.11","44.55","0.34","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155082_394365_19012021062205_WEB.xml","19-JAN-2021 18:40:17",,"::"
"Vedanta Limited","50.14","49.5","0.36","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152882_347305_20102020063134_WEB.xml","20-OCT-2020 18:40:10",,"::"
"Vedanta Limited","50.14","49.49","0.37","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_150594_294503_21072020071757_WEB.xml","21-JUL-2020 19:40:04",,"::"
"Vedanta Limited","50.14","49.48","0.39","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146931_244407_27042020015954_WEB.xml","27-APR-2020 14:10:02",,"::"
"Vedanta Limited","50.14","49.46","0.4","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_145283_205752_18012020040548_WEB.xml","18-JAN-2020 16:10:03",,"::"
"Vedanta Limited","50.14","49.46","0.4","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142831_154196_19102019112018_WEB.xml","24-OCT-2019 14:56:40",,"::"
