"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Yes Bank Limited","0","100","0","-","30-SEP-2025","18-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1553889_18102025082536_WEB.xml","18-OCT-2025 20:25:43","18-OCT-2025 20:25:47","00:00:04"
"Yes Bank Limited","0","100","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489781_21072025083707_WEB.xml","21-JUL-2025 20:37:11","21-JUL-2025 20:37:14","00:00:03"
"Yes Bank Limited","0","100","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197541_1416400_16042025082611_WEB.xml","16-APR-2025 20:26:12","16-APR-2025 20:26:15","00:00:03"
"Yes Bank Limited","0","100","0","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194677_1345619_15012025115058_WEB.xml","15-JAN-2025 11:50:59","15-JAN-2025 11:51:03","00:00:04"
"Yes Bank Limited","0","100","0","-","30-SEP-2024","11-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191665_1266231_11102024033708_WEB.xml","11-OCT-2024 15:37:09","11-OCT-2024 15:37:13","00:00:04"
"Yes Bank Limited","0","100","0","-","30-JUN-2024","12-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189222_1181865_12072024014524_WEB.xml","12-JUL-2024 13:45:25","12-JUL-2024 13:45:28","00:00:03"
"Yes Bank Limited","0","100","0","-","05-MAY-2024","15-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188437_1125603_15052024065904_WEB.xml","15-MAY-2024 18:59:05","15-MAY-2024 19:05:04","00:05:59"
"Yes Bank Limited","0","100","0","-","21-APR-2024","25-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188364_1108095_25042024051803_WEB.xml","25-APR-2024 17:18:04","25-APR-2024 17:20:03","00:01:59"
"Yes Bank Limited","0","100","0","Revised","31-MAR-2024","17-APR-2024","19-APR-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_187317_1096752_17042024060207_WEB.xml","20-APR-2024 11:18:49","20-APR-2024 11:20:03","00:01:14"
"Yes Bank Limited","0","100","0","-","31-DEC-2023","12-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184044_1019094_12012024053234_WEB.xml","12-JAN-2024 17:32:35","12-JAN-2024 17:35:03","00:02:28"
