"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Ambuja Cements Limited","67.68","32.32","0","-","30-SEP-2025","11-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1545046_11102025122405_WEB.xml","11-OCT-2025 12:24:12","11-OCT-2025 12:24:17","00:00:05"
"Ambuja Cements Limited","67.57","32.43","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489854_21072025092150_WEB.xml","21-JUL-2025 21:21:56","21-JUL-2025 21:22:01","00:00:05"
"Ambuja Cements Limited","67.57","32.43","0","-","31-MAR-2025","15-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197169_1414395_15042025121737_WEB.xml","15-APR-2025 12:17:38","15-APR-2025 12:17:42","00:00:04"
"Ambuja Cements Limited","67.57","32.43","0","-","31-DEC-2024","11-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194390_1343078_11012025083144_WEB.xml","11-JAN-2025 20:31:46","11-JAN-2025 20:31:50","00:00:04"
"Ambuja Cements Limited","67.57","32.43","0","Revised","30-SEP-2024","11-OCT-2024","22-OCT-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_191657_1285087_22102024055833_WEB.xml","22-OCT-2024 20:08:07","22-OCT-2024 20:08:10","00:00:03"
"Ambuja Cements Limited","70.33","29.67","0","-","30-JUN-2024","16-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189683_1188131_16072024070752_WEB.xml","16-JUL-2024 19:07:54","16-JUL-2024 19:07:59","00:00:05"
"Ambuja Cements Limited","70.33","29.67","0","Revised","17-APR-2024","23-APR-2024","03-JUN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_188352_1152174_03062024054237_WEB.xml","07-JUN-2024 17:33:59","07-JUN-2024 17:35:10","00:01:11"
"Ambuja Cements Limited","66.74","33.26","0","-","31-MAR-2024","16-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187107_1095168_16042024091459_WEB.xml","16-APR-2024 21:15:01","16-APR-2024 21:20:04","00:05:03"
"Ambuja Cements Limited","66.74","33.26","0","-","28-MAR-2024","29-MAR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185723_1076541_29032024042814_WEB.xml","29-MAR-2024 16:28:15","29-MAR-2024 16:30:03","00:01:48"
"Ambuja Cements Limited","63.19","36.81","0","Revised","31-DEC-2023","12-JAN-2024","09-FEB-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_184077_1019673_12012024084920_WEB.xml","12-FEB-2024 11:22:07","12-FEB-2024 11:25:07","00:03:00"
"Ambuja Cements Limited","63.19","36.81","0","Revised","30-SEP-2023","19-OCT-2023","17-JAN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_182333_959747_19102023011335_WEB.xml","17-JAN-2024 13:13:31","17-JAN-2024 13:15:04","00:01:33"
"Ambuja Cements Limited","63.2","36.8","0","Revised","30-JUN-2023","18-JUL-2023","17-JAN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_179509_890789_18072023060124_WEB.xml","17-JAN-2024 15:56:57","17-JAN-2024 16:00:10","00:03:13"
