"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Aurobindo Pharma Limited","51.82","48.18","0","-","30-SEP-2025","13-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1546245_13102025043353_WEB.xml","13-OCT-2025 16:33:57","13-OCT-2025 16:34:02","00:00:05"
"Aurobindo Pharma Limited","51.82","48.18","0","-","30-JUN-2025","15-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1482952_15072025022756_WEB.xml","15-JUL-2025 14:28:00","15-JUL-2025 14:28:05","00:00:05"
"Aurobindo Pharma Limited","51.82","48.18","0","-","31-MAR-2025","15-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197288_1415039_15042025054751_WEB.xml","15-APR-2025 17:47:52","15-APR-2025 17:47:55","00:00:03"
"Aurobindo Pharma Limited","51.82","48.18","0","-","31-DEC-2024","13-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194478_1343799_13012025043701_WEB.xml","13-JAN-2025 16:37:02","13-JAN-2025 16:37:05","00:00:03"
"Aurobindo Pharma Limited","51.82","48.18","0","-","30-SEP-2024","14-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191793_1267675_14102024125257_WEB.xml","14-OCT-2024 12:52:58","14-OCT-2024 12:53:01","00:00:03"
"Aurobindo Pharma Limited","51.8","48.2","0","-","30-JUN-2024","09-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188803_1175631_09072024121105_WEB.xml","09-JUL-2024 12:11:06","09-JUL-2024 12:11:10","00:00:04"
"Aurobindo Pharma Limited","51.83","48.17","0","-","31-MAR-2024","05-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_185835_1081377_05042024033430_WEB.xml","05-APR-2024 15:34:31","05-APR-2024 15:40:04","00:05:33"
"Aurobindo Pharma Limited","51.83","48.17","0","-","31-DEC-2023","08-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183359_1010330_08012024025912_WEB.xml","08-JAN-2024 14:59:13","08-JAN-2024 15:05:04","00:05:51"
"Aurobindo Pharma Limited","51.83","48.17","0","-","30-SEP-2023","16-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181652_953216_16102023024339_WEB.xml","16-OCT-2023 14:43:40","16-OCT-2023 14:45:04","00:01:24"
"Aurobindo Pharma Limited","51.83","48.17","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179603_891661_19072023122205_WEB.xml","19-JUL-2023 12:22:05","19-JUL-2023 12:30:17","00:08:12"
"Aurobindo Pharma Limited","51.83","48.17","0","-","31-MAR-2023","14-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176580_818733_14042023122410_WEB.xml","14-APR-2023 12:24:11","14-APR-2023 12:30:02","00:05:51"
"Aurobindo Pharma Limited","51.83","48.17","0","-","31-DEC-2022","17-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174438_768811_17012023120310_WEB.xml","17-JAN-2023 12:10:16",,"::"
"Aurobindo Pharma Limited","51.83","48.17","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172080_735322_20102022100151_WEB.xml","20-OCT-2022 10:10:06",,"::"
"Aurobindo Pharma Limited","51.83","48.17","0","-","30-JUN-2022","18-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169862_692995_18072022035024_WEB.xml","18-JUL-2022 16:10:17",,"::"
"Aurobindo Pharma Limited","51.83","48.17","0","Revised","31-MAR-2022","16-APR-2022","21-JUN-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_167156_636995_16042022110032_WEB.xml","22-JUN-2022 11:10:11",,"::"
"Aurobindo Pharma Limited","51.83","48.17","0","-","31-DEC-2021","17-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164755_589872_17012022031323_WEB.xml","17-JAN-2022 15:40:15",,"::"
"Aurobindo Pharma Limited","51.83","48.17","0","Revised","30-SEP-2021","12-OCT-2021","17-JAN-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_161518_529614_12102021031829_WEB.xml","18-JAN-2022 19:40:21",,"::"
"Aurobindo Pharma Limited","51.83","48.17","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159530_486996_16072021023555_WEB.xml","16-JUL-2021 14:40:03",,"::"
"Aurobindo Pharma Limited","51.94","48.06","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_157385_438645_17042021021309_WEB.xml","17-APR-2021 14:40:07",,"::"
"Aurobindo Pharma Limited","51.94","48.06","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155043_394109_19012021045606_WEB.xml","19-JAN-2021 17:10:16",,"::"
"Aurobindo Pharma Limited","52.01","47.99","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_152522_345435_19102020052653_WEB.xml","19-OCT-2020 17:40:24",,"::"
"Aurobindo Pharma Limited","52.01","47.99","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149670_289667_17072020050146_WEB.xml","17-JUL-2020 17:10:05",,"::"
"Aurobindo Pharma Limited","52.01","47.99","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_147015_245205_29042020095429_WEB.xml","29-APR-2020 10:10:02",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144172_193129_10012020032805_WEB.xml","10-JAN-2020 15:40:04",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_142258_152045_17102019032118_WEB.xml","24-OCT-2019 14:56:40",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_139443_121061_19072019015433_WEB.xml","19-JUL-2019 14:10:10",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136177_91816_12042019022612_WEB.xml","12-APR-2019 14:40:05",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","Revised","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133571_71209_14012019045519_WEB.xml","14-FEB-2019 15:10:07",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_130997_49855_15102018120348_WEB.xml","15-OCT-2018 12:10:21",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_127365_20274_11072018123133_WEB.xml","11-JUL-2018 12:40:09",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-APR-2018 11:10:04",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-JAN-2018 16:40:04",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-OCT-2017 17:40:03",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","13-JUL-2017 17:10:01",,"::"
"Aurobindo Pharma Limited","51.87","48.13","0","Revised","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","17-MAY-2017 14:10:01",,"::"
"Aurobindo Pharma Limited","51.94","48.06","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","09-JAN-2017 18:10:02",,"::"
"Aurobindo Pharma Limited","53.79","46.21","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","15-OCT-2016 16:10:01",,"::"
"Aurobindo Pharma Limited","53.79","46.21","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-JUL-2016 17:10:02",,"::"
"Aurobindo Pharma Limited","53.79","46.21","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-MAY-2016 17:15:01",,"::"
"Aurobindo Pharma Limited","53.9","46.1","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","20-JAN-2016 06:15:01",,"::"
"Aurobindo Pharma Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"22-JUL-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Aurobindo Pharma Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
