"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Divi's Laboratories Limited","51.89","48.11","0","-","30-SEP-2025","11-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1545060_11102025123909_WEB.xml","11-OCT-2025 12:39:12","11-OCT-2025 12:39:17","00:00:05"
"Divi's Laboratories Limited","51.89","48.11","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1486018_18072025093330_WEB.xml","18-JUL-2025 09:33:34","18-JUL-2025 09:33:38","00:00:04"
"Divi's Laboratories Limited","51.89","48.11","0","-","31-MAR-2025","18-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197933_1418219_18042025121732_WEB.xml","18-APR-2025 12:17:33","18-APR-2025 12:17:38","00:00:05"
"Divi's Laboratories Limited","51.89","48.11","0","-","31-DEC-2024","17-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195156_1349647_17012025052059_WEB.xml","17-JAN-2025 17:20:59","17-JAN-2025 17:21:04","00:00:05"
"Divi's Laboratories Limited","51.89","48.11","0","Revised","30-SEP-2024","11-OCT-2024","11-OCT-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_191610_1266253_11102024034546_WEB.xml","07-NOV-2024 18:41:53","07-NOV-2024 18:41:57","00:00:04"
"Divi's Laboratories Limited","51.9","48.1","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190061_1191952_18072024045956_WEB.xml","18-JUL-2024 16:59:56","18-JUL-2024 17:00:04","00:00:08"
"Divi's Laboratories Limited","51.92","48.08","0","Revised","31-MAR-2024","13-APR-2024","04-JUN-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_186639_1152456_04062024113717_WEB.xml","04-JUN-2024 11:49:30","04-JUN-2024 11:50:10","00:00:40"
"Divi's Laboratories Limited","51.92","48.08","0","-","31-DEC-2023","09-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183511_1012462_09012024043904_WEB.xml","09-JAN-2024 16:39:05","09-JAN-2024 16:45:03","00:05:58"
"Divi's Laboratories Limited","51.93","48.07","0","-","30-SEP-2023","13-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181470_951302_13102023045438_WEB.xml","13-OCT-2023 16:54:39","13-OCT-2023 17:00:28","00:05:49"
"Divi's Laboratories Limited","51.93","48.07","0","-","30-JUN-2023","18-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179305_888899_18072023095130_WEB.xml","18-JUL-2023 09:51:31","18-JUL-2023 10:00:27","00:08:56"
