"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"GAIL (India) Limited","51.88","48.12","0","-","30-SEP-2025","15-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1548653_15102025022314_WEB.xml","15-OCT-2025 14:23:18","15-OCT-2025 14:23:22","00:00:04"
"GAIL (India) Limited","51.88","48.12","0","-","30-JUN-2025","16-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1484508_16072025054016_WEB.xml","16-JUL-2025 17:40:21","16-JUL-2025 17:40:26","00:00:05"
"GAIL (India) Limited","51.88","48.12","0","-","31-MAR-2025","08-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196445_1409738_08042025115555_WEB.xml","08-APR-2025 11:55:56","08-APR-2025 11:56:00","00:00:04"
"GAIL (India) Limited","51.9","48.1","0","-","31-DEC-2024","07-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193913_1338523_07012025022953_WEB.xml","07-JAN-2025 14:29:54","07-JAN-2025 14:29:58","00:00:04"
"GAIL (India) Limited","51.92","48.08","0","-","30-SEP-2024","10-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191469_1264127_10102024114230_WEB.xml","10-OCT-2024 11:42:31","10-OCT-2024 11:42:35","00:00:04"
"GAIL (India) Limited","51.92","48.08","0","-","30-JUN-2024","10-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188970_1178352_10072024043230_WEB.xml","10-JUL-2024 16:32:31","10-JUL-2024 16:32:34","00:00:03"
"GAIL (India) Limited","51.9","48.1","0","-","31-MAR-2024","15-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186759_1092146_15042024035149_WEB.xml","15-APR-2024 15:51:50","15-APR-2024 15:55:15","00:03:25"
"GAIL (India) Limited","51.9","48.1","0","-","31-DEC-2023","16-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184328_1022556_16012024023132_WEB.xml","16-JAN-2024 14:31:32","16-JAN-2024 14:35:08","00:03:36"
"GAIL (India) Limited","51.91","48.09","0","Revised","30-SEP-2023","16-OCT-2023","17-NOV-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_181679_953494_16102023034312_WEB.xml","17-NOV-2023 14:34:08","17-NOV-2023 14:40:03","00:05:55"
"GAIL (India) Limited","51.91","48.09","0","-","30-JUN-2023","07-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178292_875657_07072023113504_WEB.xml","07-JUL-2023 11:35:04","07-JUL-2023 11:45:03","00:09:59"
"GAIL (India) Limited","51.91","48.09","0","-","31-MAR-2023","13-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176379_816810_13042023102724_WEB.xml","13-APR-2023 10:27:25","13-APR-2023 10:30:06","00:02:41"
"GAIL (India) Limited","51.91","48.09","0","-","31-DEC-2022","11-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_173853_762267_11012023041407_WEB.xml","11-JAN-2023 16:40:10",,"::"
"GAIL (India) Limited","51.9","48.1","0","-","30-SEP-2022","19-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_171979_734499_19102022053113_WEB.xml","19-OCT-2022 17:40:29",,"::"
"GAIL (India) Limited","51.9","48.1","0","-","09-SEP-2022","16-SEP-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_170924_712046_16092022125054_WEB.xml","16-SEP-2022 13:10:02",,"::"
"GAIL (India) Limited","51.89","48.11","0","-","30-JUN-2022","12-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169090_685584_12072022042447_WEB.xml","12-JUL-2022 16:40:17",,"::"
"GAIL (India) Limited","51.8","48.2","0","Revised","31-MAR-2022","19-APR-2022","21-APR-2022","https://nsearchives.nseindia.com/corporate/xbrl/SHP_167712_641465_19042022054313_WEB.xml","28-APR-2022 19:40:03",,"::"
"GAIL (India) Limited","51.8","48.2","0","-","31-DEC-2021","11-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164098_583137_11012022045907_WEB.xml","11-JAN-2022 17:10:20",,"::"
