"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-SEP-2025","17-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1552562_17102025063935_WEB.xml","17-OCT-2025 18:39:41","17-OCT-2025 18:39:44","00:00:03"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488624_21072025023740_WEB.xml","21-JUL-2025 14:37:46","21-JUL-2025 14:37:51","00:00:05"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-MAR-2025","11-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196960_1413079_11042025083744_WEB.xml","11-APR-2025 20:37:46","11-APR-2025 20:37:50","00:00:04"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-DEC-2024","13-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194507_1344019_13012025055307_WEB.xml","13-JAN-2025 17:53:09","13-JAN-2025 17:53:13","00:00:04"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-SEP-2024","14-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191782_1267555_14102024121907_WEB.xml","14-OCT-2024 12:19:09","14-OCT-2024 12:19:13","00:00:04"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190456_1196159_19072024075720_WEB.xml","19-JUL-2024 19:57:22","19-JUL-2024 19:57:25","00:00:03"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","25-JUN-2024","26-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188577_1164013_26062024064842_WEB.xml","26-JUN-2024 18:48:44","26-JUN-2024 18:49:57","00:01:13"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-MAR-2024","18-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187567_1098733_18042024051258_WEB.xml","18-APR-2024 17:12:59","18-APR-2024 17:15:08","00:02:09"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-DEC-2023","12-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184069_1019518_12012024071307_WEB.xml","12-JAN-2024 19:13:08","12-JAN-2024 19:15:03","00:01:55"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-SEP-2023","13-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181404_950718_13102023021352_WEB.xml","13-OCT-2023 14:13:53","13-OCT-2023 14:15:14","00:01:21"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-JUN-2023","07-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178338_876514_07072023065058_WEB.xml","07-JUL-2023 18:50:59","07-JUL-2023 19:00:32","00:09:33"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-MAR-2023","12-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176238_815212_12042023112625_WEB.xml","12-APR-2023 11:26:26","12-APR-2023 11:30:14","00:03:48"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-DEC-2022","18-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174626_770561_18012023102219_WEB.xml","18-JAN-2023 10:40:07",,"::"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-SEP-2022","18-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_171508_730627_18102022121043_WEB.xml","18-OCT-2022 12:40:15",,"::"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-JUN-2022","08-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168685_681598_08072022114840_WEB.xml","08-JUL-2022 12:10:08",,"::"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-MAR-2022","11-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/-","11-APR-2022 15:40:21",,"::"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-DEC-2021","12-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164287_584970_12012022051708_WEB.xml","12-JAN-2022 17:40:11",,"::"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-SEP-2021","12-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161513_529562_12102021030730_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159449_485779_15072021051138_WEB.xml","15-JUL-2021 17:40:13",,"::"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","14-MAY-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_158347_449582_20052021080028_WEB.xml","20-MAY-2021 20:10:03",,"::"
