"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"IndusInd Bank Limited","15.82","84.18","0","-","30-SEP-2025","17-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1551898_17102025040607_WEB.xml","17-OCT-2025 16:06:13","17-OCT-2025 16:06:17","00:00:04"
"IndusInd Bank Limited","15.82","84.18","0","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1488824_21072025035945_WEB.xml","21-JUL-2025 15:59:51","21-JUL-2025 15:59:56","00:00:05"
"IndusInd Bank Limited","15.83","84.17","0","Revised","31-MAR-2025","15-APR-2025","28-JUL-2025","https://nsearchives.nseindia.com/corporate/xbrl/SHP_1495205_28072025043250_WEB.xml","29-JUL-2025 11:14:18","29-JUL-2025 11:14:22","00:00:04"
"IndusInd Bank Limited","16.29","83.71","0","-","31-DEC-2024","10-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194332_1342589_10012025082033_WEB.xml","10-JAN-2025 20:20:35","10-JAN-2025 20:20:38","00:00:03"
"IndusInd Bank Limited","16.36","83.64","0","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192644_1275758_17102024063410_WEB.xml","17-OCT-2024 18:34:12","17-OCT-2024 18:34:16","00:00:04"
"IndusInd Bank Limited","16.38","83.62","0","-","30-JUN-2024","18-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190032_1191723_18072024042236_WEB.xml","18-JUL-2024 16:22:37","18-JUL-2024 16:22:41","00:00:04"
"IndusInd Bank Limited","16.4","83.6","0","-","31-MAR-2024","16-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187080_1094886_16042024064242_WEB.xml","16-APR-2024 18:42:43","16-APR-2024 18:45:15","00:02:32"
"IndusInd Bank Limited","16.45","83.55","0","-","31-DEC-2023","17-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184606_1025526_17012024062610_WEB.xml","17-JAN-2024 18:26:11","17-JAN-2024 18:30:09","00:03:58"
"IndusInd Bank Limited","16.47","83.53","0","-","30-SEP-2023","18-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182266_959190_18102023103756_WEB.xml","18-OCT-2023 22:37:57","18-OCT-2023 22:40:03","00:02:06"
"IndusInd Bank Limited","16.49","83.51","0","Revised","30-JUN-2023","11-JUL-2023","20-JUL-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_178588_879932_11072023051414_WEB.xml","21-JUL-2023 10:52:27","21-JUL-2023 11:00:11","00:07:44"
"IndusInd Bank Limited","16.5","83.5","0","-","31-MAR-2023","11-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176218_814998_11042023071420_WEB.xml","11-APR-2023 19:14:22","11-APR-2023 19:30:32","00:16:10"
"IndusInd Bank Limited","16.51","83.49","0","-","31-DEC-2022","18-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174828_772129_18012023065318_WEB.xml","18-JAN-2023 19:10:30",,"::"
"IndusInd Bank Limited","16.51","83.49","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172298_736826_20102022041954_WEB.xml","20-OCT-2022 16:40:42",,"::"
"IndusInd Bank Limited","16.51","83.49","0","-","30-JUN-2022","11-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_168985_684329_11072022054728_WEB.xml","18-JAN-2023 18:40:19",,"::"
