"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-SEP-2025","17-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1551755_17102025033338_WEB.xml","17-OCT-2025 15:33:40","17-OCT-2025 15:33:44","00:00:04"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-JUN-2025","17-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1485409_17072025035957_WEB.xml","17-JUL-2025 16:00:00","17-JUL-2025 16:00:36","00:00:36"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197531_1416303_16042025064410_WEB.xml","16-APR-2025 18:44:11","16-APR-2025 18:44:14","00:00:03"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194675_1345609_15012025114715_WEB.xml","15-JAN-2025 11:47:15","15-JAN-2025 11:47:19","00:00:04"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192432_1273793_17102024114035_WEB.xml","17-OCT-2024 11:40:36","17-OCT-2024 11:40:39","00:00:03"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-JUN-2024","17-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189709_1188424_17072024105050_WEB.xml","17-JUL-2024 10:50:51","17-JUL-2024 10:50:54","00:00:03"
"Indian Oil Corporation Limited","51.5","48.5","0","Revised","31-MAR-2024","17-APR-2024","19-APR-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_187161_1095554_17042024124002_WEB.xml","08-MAY-2024 19:08:18","08-MAY-2024 19:10:08","00:01:50"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-DEC-2023","15-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184133_1020344_15012024094006_WEB.xml","15-JAN-2024 09:40:07","15-JAN-2024 09:45:03","00:04:56"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-SEP-2023","12-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181238_948904_12102023025943_WEB.xml","12-OCT-2023 14:59:44","12-OCT-2023 15:15:10","00:15:26"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-JUN-2023","19-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179572_891411_19072023102129_WEB.xml","19-JUL-2023 10:21:29","19-JUL-2023 10:30:32","00:09:03"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-MAR-2023","12-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_176336_816267_12042023051526_WEB.xml","12-APR-2023 17:15:27","12-APR-2023 17:30:02","00:14:35"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-DEC-2022","18-JAN-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_174681_771010_18012023021647_WEB.xml","18-JAN-2023 14:40:11",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-SEP-2022","20-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_172187_736090_20102022013828_WEB.xml","20-OCT-2022 13:40:18",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","04-JUL-2022","12-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169130_686127_12072022062901_WEB.xml","12-JUL-2022 18:40:14",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-JUN-2022","12-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169095_685651_12072022044549_WEB.xml","12-JUL-2022 17:10:16",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-MAR-2022","05-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_165874_623547_05042022044046_WEB.xml","05-APR-2022 17:10:21",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-DEC-2021","12-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_164186_584003_12012022121156_WEB.xml","12-JAN-2022 12:40:13",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-SEP-2021","14-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161835_532511_14102021121906_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159270_483163_14072021025925_WEB.xml","14-JUL-2021 15:10:12",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156612_429240_12042021032331_WEB.xml","12-APR-2021 15:40:15",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_153608_378815_07012021123548_WEB.xml","07-JAN-2021 12:40:11",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151691_337704_14102020105716_WEB.xml","14-OCT-2020 11:10:16",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149076_281049_13072020031939_WEB.xml","13-JUL-2020 15:40:03",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146673_241706_21042020110936_WEB.xml","21-APR-2020 11:10:01",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_143948_190403_09012020010502_WEB.xml","09-JAN-2020 13:10:03",,"::"
"Indian Oil Corporation Limited","51.5","48.5","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_140888_140851_07102019043355_WEB.xml","07-OCT-2019 16:40:02",,"::"
"Indian Oil Corporation Limited","52.18","47.82","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_137971_111652_08072019033145_WEB.xml","08-JUL-2019 15:40:07",,"::"
"Indian Oil Corporation Limited","52.18","47.82","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_135445_88062_08042019114805_WEB.xml","08-APR-2019 12:10:05",,"::"
"Indian Oil Corporation Limited","53.88","46.12","0","-","14-FEB-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_135058_83772_20022019022127_WEB.xml","20-FEB-2019 14:40:04",,"::"
"Indian Oil Corporation Limited","54.06","45.94","0","-","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_132359_64017_02012019050923_WEB.xml","02-JAN-2019 17:10:05",,"::"
"Indian Oil Corporation Limited","56.75","43.25","0","-","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_129880_43841_09102018100120_WEB.xml","09-OCT-2018 10:10:07",,"::"
"Indian Oil Corporation Limited","56.75","43.25","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_128714_26643_19072018043624_WEB.xml","19-JUL-2018 16:40:17",,"::"
"Indian Oil Corporation Limited","56.98","43.02","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-APR-2018 14:40:04",,"::"
"Indian Oil Corporation Limited","56.98","43.02","0","-","19-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","19-MAR-2018 18:10:03",,"::"
"Indian Oil Corporation Limited","56.98","43.02","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-JAN-2018 10:10:03",,"::"
"Indian Oil Corporation Limited","57.34","42.66","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-OCT-2017 13:40:02",,"::"
"Indian Oil Corporation Limited","57.34","42.66","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","03-JUL-2017 16:10:01",,"::"
"Indian Oil Corporation Limited","57.34","42.66","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","03-APR-2017 13:10:02",,"::"
"Indian Oil Corporation Limited","58.28","41.72","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","12-JAN-2017 16:10:01",,"::"
"Indian Oil Corporation Limited","58.28","41.72","0","-","20-OCT-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","24-OCT-2016 11:10:01",,"::"
"Indian Oil Corporation Limited","58.28","41.72","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-OCT-2016 13:10:02",,"::"
"Indian Oil Corporation Limited","58.28","41.72","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","04-JUL-2016 16:10:02",,"::"
"Indian Oil Corporation Limited","58.57","41.43","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-MAY-2016 17:15:01",,"::"
"Indian Oil Corporation Limited","58.57","41.43","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","26-JAN-2016 06:15:02",,"::"
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"28-AUG-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"14-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-DEC-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"31-DEC-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"30-JUN-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"31-MAR-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"31-DEC-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"30-SEP-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"30-JUN-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"31-MAR-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"31-DEC-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"30-SEP-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Ltd","0","0","0",,"30-JUN-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-MAR-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"31-DEC-2005",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-SEP-2005",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Indian Oil Corporation Limited","0","0","0",,"30-JUN-2005",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
