"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Lupin Limited","46.9","53.1","0","-","30-SEP-2025","17-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1551887_17102025040212_WEB.xml","17-OCT-2025 16:02:18","17-OCT-2025 16:02:22","00:00:04"
"Lupin Limited","46.9","53.1","0","-","30-JUN-2025","18-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1486998_18072025061900_WEB.xml","18-JUL-2025 18:19:06","18-JUL-2025 18:19:10","00:00:04"
"Lupin Limited","46.92","53.08","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197454_1415891_16042025042212_WEB.xml","16-APR-2025 16:22:13","16-APR-2025 16:22:18","00:00:05"
"Lupin Limited","46.95","53.05","0","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194759_1346349_15012025052339_WEB.xml","15-JAN-2025 17:23:40","15-JAN-2025 17:23:45","00:00:05"
"Lupin Limited","46.96","53.04","0","-","30-SEP-2024","08-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191275_1261926_08102024050256_WEB.xml","08-OCT-2024 17:02:58","08-OCT-2024 17:03:02","00:00:04"
"Lupin Limited","46.98","53.02","0","-","30-JUN-2024","12-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189194_1181608_12072024122704_WEB.xml","12-JUL-2024 12:27:06","12-JUL-2024 12:27:10","00:00:04"
"Lupin Limited","47.01","52.99","0","-","31-MAR-2024","11-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186307_1087499_11042024115426_WEB.xml","11-APR-2024 11:54:28","11-APR-2024 12:00:04","00:05:36"
"Lupin Limited","47.04","52.96","0","-","31-DEC-2023","11-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183876_1016980_11012024054945_WEB.xml","11-JAN-2024 17:49:46","11-JAN-2024 17:55:04","00:05:18"
"Lupin Limited","47.06","52.94","0","-","30-SEP-2023","10-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_180963_945951_10102023062345_WEB.xml","10-OCT-2023 18:23:46","10-OCT-2023 18:30:08","00:06:22"
"Lupin Limited","47.07","52.93","0","-","30-JUN-2023","12-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_178690_881480_12072023042635_WEB.xml","12-JUL-2023 16:26:36","12-JUL-2023 16:30:15","00:03:39"
"Lupin Limited","47.08","52.92","0","-","31-MAR-2023","07-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_175837_810583_07042023115349_WEB.xml","07-APR-2023 11:53:50","07-APR-2023 12:00:10","00:06:20"
"Lupin Limited","47.1","52.9","0","Revised","31-DEC-2022","10-JAN-2023","14-MAR-2023","https://nsearchives.nseindia.com/corporate/xbrl/SHP_173710_760795_10012023045239_WEB.xml","15-MAR-2023 10:40:09",,"::"
"Lupin Limited","47.11","52.89","0","-","30-SEP-2022","14-OCT-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_171174_726487_14102022041427_WEB.xml","14-OCT-2022 16:40:16",,"::"
"Lupin Limited","47.1","52.9","0","-","30-JUN-2022","12-JUL-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_169065_685319_12072022031619_WEB.xml","12-JUL-2022 15:40:09",,"::"
"Lupin Limited","46.78","53.22","0","-","31-MAR-2022","12-APR-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_166659_632133_12042022044701_WEB.xml","12-APR-2022 17:10:30",,"::"
"Lupin Limited","46.81","53.18","0","-","31-DEC-2021","07-JAN-2022",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_163750_579326_07012022070019_WEB.xml","07-JAN-2022 19:10:05",,"::"
"Lupin Limited","46.83","53.15","0","-","30-SEP-2021","12-OCT-2021",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_161569_530111_12102021050248_WEB.xml","06-JAN-2022 21:06:51",,"::"
"Lupin Limited","46.84","53.16","0","-","30-JUN-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_159091_480957_13072021123623_WEB.xml","13-JUL-2021 12:40:13",,"::"
"Lupin Limited","46.86","53.14","0","-","31-MAR-2021",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_156669_429912_12042021052602_WEB.xml","12-APR-2021 17:40:23",,"::"
"Lupin Limited","46.88","53.12","0","-","31-DEC-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_155105_394517_19012021075506_WEB.xml","19-JAN-2021 20:10:04",,"::"
"Lupin Limited","46.91","53.09","0","Revised","30-SEP-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_151662_337233_13102020062200_WEB.xml","14-OCT-2020 11:10:16",,"::"
"Lupin Limited","46.92","53.08","0","-","30-JUN-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_149270_284757_14072020070055_WEB.xml","14-JUL-2020 19:10:03",,"::"
"Lupin Limited","46.92","53.08","0","-","31-MAR-2020",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_146612_241218_20042020023026_WEB.xml","20-APR-2020 14:40:01",,"::"
"Lupin Limited","46.93","53.07","0","-","31-DEC-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_144679_200900_15012020103247_WEB.xml","15-JAN-2020 10:40:02",,"::"
"Lupin Limited","46.96","53.04","0","-","30-SEP-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_141252_144444_11102019033508_WEB.xml","24-OCT-2019 14:56:40",,"::"
"Lupin Limited","46.96","53.04","0","-","30-JUN-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_138976_121287_19072019033440_WEB.xml","19-JUL-2019 15:40:17",,"::"
"Lupin Limited","46.97","53.03","0","-","31-MAR-2019",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_136724_95221_16042019033257_WEB.xml","16-APR-2019 15:40:09",,"::"
"Lupin Limited","46.98","53.02","0","Revised","31-DEC-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_133493_70809_14012019014031_WEB.xml","27-FEB-2019 11:10:07",,"::"
"Lupin Limited","47","53","0","Revised","30-SEP-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_131214_50787_15102018073806_WEB.xml","26-FEB-2019 12:10:09",,"::"
"Lupin Limited","47.01","52.99","0","-","30-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_127858_23723_14072018124307_WEB.xml","14-JUL-2018 13:10:05",,"::"
"Lupin Limited","47.01","52.99","0","-","31-MAR-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","09-APR-2018 19:10:03",,"::"
"Lupin Limited","47.02","52.98","0","-","31-DEC-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-JAN-2018 15:40:03",,"::"
"Lupin Limited","46.8","53.2","0","-","30-SEP-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-OCT-2017 11:40:03",,"::"
"Lupin Limited","46.7","53.3","0","-","30-JUN-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-JUL-2017 16:10:01",,"::"
"Lupin Limited","46.69","53.31","0","-","31-MAR-2017",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-APR-2017 16:10:01",,"::"
"Lupin Limited","46.71","53.29","0","-","31-DEC-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","09-JAN-2017 18:10:02",,"::"
"Lupin Limited","46.74","53.26","0","-","30-SEP-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","08-OCT-2016 17:10:01",,"::"
"Lupin Limited","46.76","53.24","0","-","30-JUN-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","08-JUL-2016 20:10:01",,"::"
"Lupin Limited","46.52","53.48","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","18-APR-2016 17:15:01",,"::"
"Lupin Limited","46.53","53.47","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","28-JAN-2016 06:15:02",,"::"
"Lupin Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-SEP-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"30-JUN-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-MAR-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Lupin Limited","0","0","0",,"31-DEC-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
