"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Mahindra & Mahindra Limited","18.44","78.01","3.55","-","30-SEP-2025","20-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1554546_20102025085104_WEB.xml","20-OCT-2025 20:51:13","20-OCT-2025 20:51:17","00:00:04"
"Mahindra & Mahindra Limited","18.44","77.98","3.58","-","30-JUN-2025","21-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1489924_21072025102312_WEB.xml","21-JUL-2025 22:23:21","21-JUL-2025 22:23:25","00:00:04"
"Mahindra & Mahindra Limited","18.45","77.95","3.6","-","31-MAR-2025","19-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_198520_1420343_19042025112626_WEB.xml","19-APR-2025 23:26:27","19-APR-2025 23:26:31","00:00:04"
"Mahindra & Mahindra Limited","18.48","77.88","3.63","-","31-DEC-2024","21-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_195980_1355670_21012025054606_WEB.xml","21-JAN-2025 17:46:08","21-JAN-2025 17:46:11","00:00:03"
"Mahindra & Mahindra Limited","18.54","77.77","3.69","-","30-SEP-2024","17-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192649_1275814_17102024064617_WEB.xml","17-OCT-2024 18:46:18","17-OCT-2024 18:46:22","00:00:04"
"Mahindra & Mahindra Limited","18.56","77.72","3.73","-","30-JUN-2024","19-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_190182_1193343_19072024110902_WEB.xml","19-JUL-2024 11:09:03","19-JUL-2024 11:09:12","00:00:09"
"Mahindra & Mahindra Limited","18.59","77.66","3.75","-","31-MAR-2024","17-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_187115_1095237_17042024011421_WEB.xml","17-APR-2024 01:14:22","17-APR-2024 08:05:03","06:50:41"
"Mahindra & Mahindra Limited","19.32","76.91","3.77","-","31-DEC-2023","19-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_184852_1028188_19012024030443_WEB.xml","19-JAN-2024 03:04:44","19-JAN-2024 08:05:08","05:00:24"
"Mahindra & Mahindra Limited","19.34","76.86","3.8","-","30-SEP-2023","19-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_182538_961598_19102023091239_WEB.xml","19-OCT-2023 21:12:40","19-OCT-2023 21:15:03","00:02:23"
"Mahindra & Mahindra Limited","19.37","76.8","3.83","-","30-JUN-2023","20-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179813_893737_20072023040609_WEB.xml","20-JUL-2023 04:06:11","20-JUL-2023 08:15:02","04:08:51"
