"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","30-SEP-2025","13-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1546148_13102025040249_WEB.xml","13-OCT-2025 16:02:55","13-OCT-2025 16:03:02","00:00:07"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","30-JUN-2025","17-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1485655_17072025054900_WEB.xml","17-JUL-2025 17:49:09","17-JUL-2025 17:51:42","00:02:33"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197522_1416273_16042025062830_WEB.xml","16-APR-2025 18:28:31","16-APR-2025 18:28:35","00:00:04"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","31-DEC-2024","10-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194215_1341520_10012025121806_WEB.xml","10-JAN-2025 12:18:07","10-JAN-2025 12:18:12","00:00:05"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","30-SEP-2024","11-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_191631_1265917_11102024011440_WEB.xml","11-OCT-2024 13:14:42","11-OCT-2024 13:14:46","00:00:04"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","30-JUN-2024","11-JUL-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_189022_1179288_11072024102835_WEB.xml","11-JUL-2024 10:28:36","11-JUL-2024 10:28:40","00:00:04"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","31-MAR-2024","09-APR-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_186066_1084527_09042024121037_WEB.xml","09-APR-2024 12:10:39","09-APR-2024 12:15:08","00:04:29"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","31-DEC-2023","10-JAN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_183610_1013759_10012024012745_WEB.xml","10-JAN-2024 13:27:46","10-JAN-2024 13:30:14","00:02:28"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","30-SEP-2023","13-OCT-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_181508_951795_13102023065711_WEB.xml","13-OCT-2023 18:57:12","13-OCT-2023 19:00:15","00:03:03"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","30-JUN-2023","18-JUL-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_179545_891081_18072023065955_WEB.xml","18-JUL-2023 18:59:56","18-JUL-2023 19:15:03","00:15:07"
"SHREE CEMENT LIMITED","62.55","37.45","0","-","31-MAR-2023","19-APR-2023",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_177451_826079_19042023044426_WEB.xml","19-APR-2023 16:44:27","19-APR-2023 17:00:05","00:15:38"
